comid,UltOrg,Affiliate,PACShort
C00001289,Unocal Corp; Chevron Corp; Union Oil,NA; Chevron Corp,Unocal Corp; Union Oil
C00002972,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn
C00004952,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Mississippi ACRE
C00004960,Burlington Resources; ConocoPhillips,NA; ConocoPhillips,Burlington Resources
C00007450,American Gas Assn,"NA",American Gas Assn
C00007849,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Speak Up for Rural Electrification
C00008169,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Missouri ACRE
C00008748,Sempra Energy; Pacific Enterprises,Sempra Energy; NA,Sempra Energy; Pacific Enterprises; Southern California Gas
C00010561,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Kansas ACRE
C00010710,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,North Carolina Assn of Electric Coops; National Rural Electric Cooperative Assn
C00010967,Dominion Resources; Consolidated Gas Transmission Corp; Consolidated Natural Gas,Dominion Resources; NA; Consolidated Natural Gas,Dominion Transmission & Storage; Consolidated Gas Transmission Corp; CNG Transmission Corp
C00011387,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Colorado ACRE
C00013995,Iowa Resources Inc; Midwest Resources Inc,NA; Midwest Resources Inc,Iowa Resources Inc; Midwest Resources Inc
C00014472,Dominion Resources; Consolidated Natural Gas,Dominion Resources; Consolidated Natural Gas,East Ohio Gas
C00015925,Indiana Gas,"NA",Indiana Gas
C00015933,Pinnacle West Capital,"NA",Pinnacle West Capital; Arizona Public Service Co
C00019653,Edison International; SCEcorp,"NA",Edison International; Southern California Edison
C00025346,Sunoco Inc; Energy Transfer Equity; Sun Co,NA; Energy Transfer Equity,Sunoco Inc; Sun Co
C00025395,PNM Resources; Public Service Co of New Mexico,"NA",Public Service Co of New Mexico
C00030676,USX Corp,USX Corp,USX Corp
C00032771,Transco Energy Co; Williams Companies,Transco Energy Co; Williams Companies,Texas Gas Transmission
C00032805,BP; Atlantic Richfield,BP; NA,Atlantic Richfield
C00033167,Dominion Resources; Consolidated Natural Gas,Dominion Resources; Consolidated Natural Gas,Dominion Peoples Natural Gas; Peoples Natural Gas
C00033530,BP; British Petroleum,BP; NA,BP; BP America
C00034041,Kerr-McGee Corp; Anadarko Petroleum,NA; Anadarko Petroleum,Kerr-McGee Corp; Anadarko Petroleum
C00034728,True Companies,"NA",True Companies
C00035006,Chevron Corp; ChevronTexaco,NA; ChevronTexaco; Chevron Corp,Chevron Corp; ChevronTexaco
C00035055,DuPont Co,DuPont Co,Conoco Inc
C00035204,Petroleum Marketers Assn,Petroleum Marketers Assn,Petroleum Marketers Assn
C00035527,Occidental Petroleum,Occidental Petroleum,Occidental Oil & Gas
C00035709,TXU Corp; Enserch Corp; Texas Utilities Co,TXU Corp; NA; Texas Utilities Co,TXU Corp/Transmission & Pipeline; Enserch Corp; Texas Utilities Co/Pipeline
C00039503,Shell Oil; Royal Dutch Shell,Shell Oil; NA,Shell Oil
C00039610,HOUPAC,"NA",HOUPAC
C00040394,Williams Companies,NA; Williams Companies,Williams Companies
C00040568,USX Corp; Marathon Oil,USX Corp; NA,Marathon Oil
C00040824,Dominion Resources; Consolidated Natural Gas,Dominion Resources; Consolidated Natural Gas,Consolidated Natural Gas
C00040881,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Ohio ACRE
C00040907,Duke Energy; Panhandle Eastern Corp; PanEnergy Corp,Duke Energy; Panhandle Eastern Corp; NA,Duke Energy; Texas Eastern Gas Transmission; PanEnergy Corp
C00041038,Avista Corp; Washington Water Power,"NA",Avista Corp; Washington Water Power
C00041178,Texaco; ChevronTexaco,NA; ChevronTexaco,Texaco; ChevronTexaco
C00041376,Constellation Energy; Exelon Corp; Baltimore Gas & Electric,NA; Exelon Corp,Constellation Energy; Baltimore Gas & Electric
C00041418,Panhandle Eastern Corp,Panhandle Eastern Corp,Panhandle Eastern Corp
C00041616,Mapco Inc,"NA",Mapco Inc
C00041947,ABB Group,"NA",ABB Group
C00048702,National Grid USA; National Grid plc; New England Power Co; New England Electric System,NA; National Grid plc,National Grid USA; New England Power Co
C00049056,Kaneb Services,"NA",Kaneb Services
C00050310,Sonat Inc; Southern Natural Resources,"NA",Sonat Inc
C00051979,NiSource Inc; Columbia Gas System; Columbia Energy Group,NiSource Inc; Columbia Gas System; Columbia Energy Group,Columbia Energy Group; NiSource Inc; Columbia Gas System
C00054890,NiSource Inc; Columbia Gas System,NiSource Inc; Columbia Gas System,Columbia Gas Distribution; Columbia Gas of Ohio
C00055236,NiSource Inc; Columbia Gas System,NiSource Inc; Columbia Gas System,Columbia Gas Transmission; Columbia Natural Resources
C00055616,Consolidated Edison of New York; Consolidated Edison Inc,NA; Consolidated Edison Inc,Consolidated Edison of New York
C00056572,American Electric Power; Central & South West Corp,American Electric Power; Central & South West Corp,Public Service Co of Oklahoma
C00059477,Xcel Energy; Southwestern Public Service Co; New Century Energies,Xcel Energy; NA; New Century Energies,Southwestern Public Service Co
C00060079,Pennzoil-Quaker State; Pennzoil Co,Pennzoil-Quaker State; NA,Pennzoil-Quaker State; Pennzoil Co
C00060103,BP; Amoco Corp,BP; NA,BP; Amoco Corp
C00062760,Panhandle Energy,"NA",Panhandle Energy
C00063024,Service Station Dealers of America,"NA",Service Station Dealers of America
C00063131,Sempra Energy; San Diego Gas & Electric,Sempra Energy; NA,San Diego Gas & Electric
C00063461,McDermott International; McDermott Inc,McDermott International; McDermott Inc,Babcock & Wilcox Enterprises
C00064774,FPL Group; NextEra Energy,"NA",Florida Power & Light; NextEra Energy
C00066985,OGE Energy; Oklahoma Gas & Electric,OGE Energy; NA,Oklahoma Gas & Electric
C00068056,Montana Power; NorthWestern Corp,NA; NorthWestern Corp,Montana Power; NorthWestern Energy
C00075473,CMS Energy; Consumers Power Co,"NA",CMS Energy; Consumers Power Co
C00075994,Ashland Inc; Ashland Oil,Ashland Inc; Ashland Oil,Ashland Inc; Ashland Oil
C00076703,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Iowa Assn of Electric Cooperatives; Iowa ACRE
C00076737,Southwest Gas,NA; Southwest Gas,Southwest Gas
C00077198,Pacificorp,Pacificorp,Pacific Power & Light (Wyoming)
C00077305,Southern Co,Southern Co,Alabama Power
C00077370,Tesoro Petroleum; Pacific Resources; Broken Hill Proprietary,Tesoro Petroleum; NA; Broken Hill Proprietary,Tesoro Hawaii Corp; Pacific Resources; BHP Petroleum Americas
C00079442,Texas Utilities Co,Texas Utilities Co,Texas Utilities Electric Co/TP&L Div
