Sort,X2,X3,X4,X5,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
2,Policy Congressional Report,,,,,,,,,,,,,
3,Opened Between 01/01/2009 and 01/31/2009,,,,,,,,,,,,,
4,WF#,Receive Date,Congressman Name,Subject of Request,,,,,,,,,,
5,807990,12/30/2008,Congressman Gary L. Ackerman,filed 1-730 on behalf of her family,,,,,,,,,,
6,809354,1/8/2009,Congressman Gary L. Ackerman,"(bX6)    inbquirying on behalf of her husband <b><6>    and her sons, for 1-485 and I-290B for her husband.",,,,,,,,,,
7,809572,1/13/2009,Congressman Gary L. Ackerman,(b)(6)    Regarding filing 1-730 for her husband and her daughter.,,,,,,,,,,
8,809761,1/15/2009,Congressman Gary L. Ackerman,(b)(6)    fegarding the Refugee/Asylee Relative Petition for beneficiary <bX6>,,,,,,,,,,
9,809821,1/15/2009,Congressman Gary L. Ackerman,"(b)t6)    egarding interviews for his wife, and son|(b)(6)    1 and(b}(6)",,,,,,,,,,
10,809860,1/15/2009,Congressman Gary L. Ackerman,filed 1-730 for her son(b)(6),,,,,,,,,,
11,810253,1/20/2009,Congressman Gary L. Ackerman,"(b,(b}    regarding the Refugee/Asylee Relative Petition for his beneficiaries.",,,,,,,,,,
12,,,,,,,,,,,,,,
13,810259,1/20/2009,Congressman Gary L. Ackerman,Axe)    pied 1-730 for his family members,,,,,,,,,,
14,810278,1/20/2009,Congressman Gary L. Ackerman,"{b>(6'    lied 1-730 for his wife, <bX6>",,,,,,,,,,
15,,,,,,,,,,,,,,
16,810298,1/20/2009,Congressman Gary L. Ackerman,(bH6)    regarding the Refugee/Asylee. Relative Petition for her son(bt<!b,,,,,,,,,,
17,810385,1/21/2009,Congressman Gary L. Ackerman,<bKH>    'iled 1-730 for her family members,,,,,,,,,,
18,811165,1/28/2009,Senator Lamar Alexander,Status of 1-601.,,,,,,,,,,
19,810934,1/27/2009,Congressman Michael Arcuri,"Requests a fire grant workshop to be held in Cortland, New York.",,,,,,,,,,
20,809518,1/14/2009,Congressman Roscoe G. Bartlett,Re: (b)fx    regarding her social security card.,,,,,,,,,,
21,809088,1/9/2009,Congressman Joe L. Barton,Rep. Barton writes regarding regulatory requirements for clinical trials.,,,,,,,,,,
22,,,,,,,,,,,,,,
23,810024,1/16/2009,Congressman Timothy H. Bishop,"Representative Timothy Bishop wrote a letter of appreciation to Chief of Congressional Relations, James McCament",,,,,,,,,,
24,811507,1/30/2009,Congressman Jo Bonner,"Rep. Bonner writes on behalf of his constituent,^6) requesting funding to establish a marine patrol unit.",,,,,,,,,,
25,809581,1/13/2009,Congressman Mary Bono Mack,"filed 1-601 waiver for his wife, (b)(6) Alvarez.",,,,,,,,,,
26,808836,1/8/2009,Congressman Leonard L. Boswell,lbH6t    Regarding the denial of his 1-140 application.,,,,,,,,,,
27,808956,1/9/2009,Congressman Leonard L. Boswell,Representative Boswell writes on behalf of constituentlbi<6> (b)(6)    -egarding his removal of contract by the Federal Protective Service.,,,,,,,,,,
28,809770,1/15/2009,Congressman Leonard L. Boswell,"tb,(b)    filed for his wife, (b><6> to come the United States",,,,,,,,,,
29,810287,1/16/2009,Congressman Charles W. Boustany,"(b)(6)    filed 1-131 forf<fc,R6>",,,,,,,,,,
30,,,,,,,,,,,,,,
31,811318,1/29/2009,Congressman Paul Broun,Status of 1-129 filed by Spin City for|<bX6>,,,,,,,,,,
32,811087,1/26/2009,Congressman Sherrod Brown,"Writes on behalf of their constituent,    regarding waiving the 25% planning initiative for the Homeland Security Program Grant.",,,,,,,,,,
33,808605,1/7/2009,Congressman Sam Brownback,W(6)    |are filing a waiver application based on extreme hardship on husband and son.,,,,,,,,,,
34,809386,1/13/2009,Congressman Michael C. Burgess,(b)(6)    [regarding the denial of a I-130 petition for her husband,,,,,,,,,,
35,810268,3/13/2009,Congressman Bradley I. Buswell,"S&T presents the attached report, ""Science and Technology Directorate Innovation Expenditure Plan” prepared in response to a legislative requirement accompanying the Fiscal Year 2009 Department of Homeland Security Appropriations Act (P.L. 110-329).",,,,,,,,,,
36,810197,1/16/2009,Congressman William Lacy Clay,Writes on behalf of a constituent regarding a recent bond forfeiture.,,,,,,,,,,
37,811547,1/30/2009,Congressman William Lacy Clay,Requesting assistance with proof of citizenship.,,,,,,,,,,
38,,,,,,,,,,,,,,
39,808334,1/6/2009,Senator Thad Cochran,"Expresses concerns regarding the NBAF Final Environmental Impact Statement and its implications for the Flora, Mississippi site.",,,,,,,,,,
40,809161,1/6/2009,Senator Thad Cochran,"Expresses concerns regarding the NBAF Final Environmental Impact Statement and its implications for the Flora, Mississippi site.",,,,,,,,,,
41,808890,1/16/2009,Congressman Jay M. Cohen,Memo from U/S Cohen to USm Duke. NBAF ROD Notification Letters from DHS USM to House and Senate Appropriations Committee.,,,,,,,,,,
42,808418,1/5/2009,Senator Susan M. Collins,"<b><6>    grandmother of six parentless children in Ethopia and her son,(b){6)    are trying to bring the six youngster to the United States on humanitarian parole visas.",,,,,,,,,,
43,808580,1/6/2009,Senator Susan M. Collins,(bi<6)    requests status of 4 beneficiaries of an immigration case which he filed.,,,,,,,,,,
44,811185,1/28/2009,Senator Susan M. Collins,Senator Collins writes regarding the northern border strategy.,,,,,,,,,,
45,811534,1/30/2009,Senator Susan M. Collins,Express concerns regarding the formula used to determine the minimum allocation of funding for states under the State Homeland Security Grant Program (SHSGP) and Urban Areas Secure Initiative (UASI). FEMA folder number 95845 is assigned to the Grant Preparedness Directorate for handling.,,,,,,,,,,
46,,,,,,,,,,,,,,
47,811605,1/30/2009,Senator Susan M. Collins,Sen. Susan M. Collins writes on behalf of her constituent(b)(6> request an explanation of the steps the Department is taking to ensure Transportation Worker Identification Cards (TWIC) can be obtained without delays.,,,,,,,,,,
48,810258,1/20/2009,Senator Bob Corker,"<bK6)    cgarding the status of her husbandftl,(6t —-piT""1    -",,,,,,,,,,
49,810558,1/21/2009,Senator Bob Corker,"b)(6)    requests her letter of reconsideration, 1-290 be forwarded.",,,,,,,,,,
50,811256,1/22/2009,Senator Bob Corker,seeks information on holders of Cl D visa holders and if they are allowed to take a vacation in the United States.,,,,,,,,,,
51,808076,12/29/2008,Senator John Cornyn,"(b!,6>    Regarding filing for immigration visas for her two disable daughters",,,,,,,,,,
52,808182,1/5/2009,Senator John Cornyn,<b>(6!    regarding appeal for their R-1 visa status,,,,,,,,,,
53,808194,1/4/2009,Senator John Cornyn,(bt(b'    isks for assistance to expedite his Oath letter in order to received receive his ceremony and citizenship papers.,,,,,,,,,,
54,,,,,,,,,,,,,,
55,808197,1/4/2009,Senator John Cornyn,"(b)(6)    andFb)(6)    regarding, adjudication of I-485s being expedited.",,,,,,,,,,
56,808587,1/6/2009,Senator John Cornyn,<b><6)    regarding 1-140 filed at TSC,,,,,,,,,,
57,810254,1/20/2009,Senator John Cornyn,(bf(6)    regarding his name after his adoption.,,,,,,,,,,
58,810272,1/20/2009,Senator John Cornyn,(b)(6)    filed 1-129 for (b><6> (b)(6),,,,,,,,,,
59,810284,1/20/2009,Senator John Cornyn,|{b-t(6'    regarding a problem with her immigration case.,,,,,,,,,,
60,810375,1/21/2009,Senator John Cornyn,Writes on behalf of constituent <bi(6-'    who was involved in a car accident with Special Agent <bt<6:'    and requests assistance obtaining information to process his insurance claim.,,,,,,,,,,
61,808560,1/6/2009,"Senator Michael D, Crapo","(b>,6>    regarding her husband's, <b^6) immigration case.",,,,,,,,,,
62,,,,,,,,,,,,,,
63,809690,1/13/2009,Senator Michael D. Crapo,(b)(6)    filed Humanitarian parole for their daughter.,,,,,,,,,,
64,811374,1/29/2009,Senator Michael D. Crapo,Status of 1-130 for his spouse.,,,,,,,,,,
65,808954,1/10/2009,Congressman Joseph Crowley,!b>(6>    regarding the status of his parents’ 1-730 petition. (b)(6)    |,,,,,,,,,,
66,809355,1/10/2009,Congressman Joseph Crowley,(bM6t    seeks status of her 1-730 case for her family,,,,,,,,,,
67,809508,1/9/2009,Congressman Joseph Crowley,"(b>(6)    requests to reschedule her daughter’s, Ms. (b)(6)",,,,,,,,,,
68,810563,1/22/2009,Congressman Joseph Crowley,Re: (b)<6)    family's 1-730 petitions.,,,,,,,,,,
69,,,,,,,,,,,,,,
70,810577,1/1/2009,Congressman Joseph Crowley,No workflow created,,,,,,,,,,
71,811308,1/29/2009,Congressman Joseph Crowley,Regarding 1-290 B application for he and his family,,,,,,,,,,
72,810047,1/16/2009,Congressman Elijah E. Cummings,Writes on behalf of his constituent 'bK6)    (regarding a complaint of his home phone being wire tapped by the Federal Government.,,,,,,,,,,
73,808094,1/2/2009,Congressman Artur Davis,"daughterj(b)(6>    filed a petition for her, Rep. Davis is requesting a status.",,,,,,,,,,
74,809006,1/9/2009,Congressman Lincoln Davis,(bK6)    1 regards to their pending I-290B appeal with USCIS.,,,,,,,,,,
75,811460,1/30/2009,Congressman Nathan Deal,Status of appeal of 1-140.,,,,,,,,,,
76,811593,1/30/2009,Congressman Peter A. DeFazio,Rep. DeFazio writes on behalf of constituent (k)(6> regarding Ghanian scammers.,,,,,,,,,,
77,809861,1/15/2009,Congressman Charles W. Dent,<bK6!    would information on the marriage and fiance fees associated with USCIS processing.,,,,,,,,,,
78,,,,,,,,,,,,,,
79,810508,1/22/2009,Congressman Charles W. Dent,M*6'    Regarding discrepancy in processing times at the Nebraska Service Center,,,,,,,,,,
80,810596,1/21/2009,Congressman Christopher J. Dodd,Humanitarian parole application for    pephew *b><6-) (b)(6),,,,,,,,,,
81,807974,12/31/2008,Congressman David Dreier,"Re    regarding the immigration case of his wife, |(b)(6)    |",,,,,,,,,,
82,808435,1/5/2009,Congressman David Dreier,|(b)(6)    follows up on previous inquiry regarding her husband's 1-601 waiver case,,,,,,,,,,
83,808889,1/8/2009,Senator Richard J. Durbin,(b)(6)    |,,,,,,,,,,
84,808955,1/9/2009,Senator Richard J. Durbin,"Writes to followup on the case of his constituent(b>(6) regarding her discrimination complaints filed with DHS, Adding in November 2008 letter, which was just received week of January 5, 2009.",,,,,,,,,,
85,809596,1/14/2009,Senator Richard J. Durbin,Re:(bK6!    and the status of his case.,,,,,,,,,,
86,,,,,,,,,,,,,,
87,810895,1/26/2009,Senator Richard J. Durbin,Adoption of Korean child,,,,,,,,,,
88,811260,1/26/2009,Senator Richard J. Durbin,seeks status on his immigration case.,,,,,,,,,,
89,809381,1/13/2009,Congressman Chet Edwards,concerning her husband's case (bJ(6) (b)(6),,,,,,,,,,
90,810914,1/26/2009,Congressman Vernon J. Ehlers,Rep. Ehlers writes on behalf of his constituent(b)(6> requesting assistance with border crossings for volunteers of the Disaster Response Services of the Christian Reformed Church.,,,,,,,,,,
91,810624,1/23/2009,Congressman John Engler,"John Engler, President and CEO of the National Association of Manufacturers requests the Department initiate a review of the 10+2 Rule.",,,,,,,,,,
92,810918,1/22/2009,Congressman Sam Fan-,"immigration case for husband,|(b><s)    | (b)(6)",,,,,,,,,,
93,811438,1/30/2009,Congressman Russell D. Feingold,Status of 1-129 for (bX6),,,,,,,,,,
94,809046,1/9/2009,Senator Dianne Feinstein,<b!<6>    Regarding the status of his wife's appeal case.,,,,,,,,,,
95,,,,,,,,,,,,,,
96,809049,1/9/2009,Senator Dianne Feinstein,(b)(6>    regarding concerns he has outlined related to his visa petition.,,,,,,,,,,
97,809055,1/9/2009,Senator Dianne Feinstein,pH0)    regarding his request to expediate his wife's 1-601 waiver application.,,,,,,,,,,
98,809551,1/13/2009,Senator Dianne Feinstein,regarding the processing of the I- 730 case.,,,,,,,,,,
99,809606,1/13/2009,Senator Dianne Feinstein,"(b,(6)    |seeks status of his wife’s,(b)(6) (b)(6)    appeal for 1-130",,,,,,,,,,
100,809766,1/13/2009,Senator Dianne Feinstein,<bM6-!    regarding reinstatement of employment with ICE,,,,,,,,,,
101,810572,1/23/2009,Senator Dianne Feinstein,Senator Feinstein and Senator Kyi write to recommenc((b)(’->) for the position of Under Secretary for Intelligence and Analysis in DHS.,,,,,,,,,,
102,,,,,,,,,,,,,,
103,S01992,12/31/2008,Congressman Bob Filner,Re:|(b)(6)    |and|<to><6> regarding a immigration problem.,,,,,,,,,,
104,808009,1/1/2009,Congressman Bob Filner,No workflow created,,,,,,,,,,
105,809241,1/9/2009,Congressman Bob Filner,Re: the status of the refugee application filed by <b!<6)    on behalf of his family.,,,,,,,,,,
106,809650,1/14/2009,Congressman Jeff Fortenberry,Re: the resettlement case of,,,,,,,,,,
107,808074,12/29/2008,Congressman Virginia Foxx,(b>(6>    complaints regarding the length of time it takes to processing 1-130 for his wife to immigrate to the United States,,,,,,,,,,
108,811091,1/27/2009,Congressman Barney Frank,Rep. Frank recommends a promotion for (bi(b>    an agent in the Air Marshal Service.,,,,,,,,,,
109,,,,,,,,,,,,,,
110,808701,1/7/2009,Congressman Rodney P. Frellnghuysen,Representative Frelinghuysen writes regarding an illegal immigrant who had serious pending criminal charges in the United States and was deported by ICE before trial.,,,,,,,,,,
111,808925,1/9/2009,Congressman Judd Gregg,"Senator Gregg writes on behalf of his constituent, <N(C’t regarding the CBP student loan repayment program.",,,,,,,,,,
112,808608,1/5/2009,Congressman Raul M. Grijalva,(b>(6)    regarding his naturalization application.,,,,,,,,,,
113,808271,1/5/2009,Congressman John J. Hall,(b)(6)    lasvlum case pending in SanFrancisco.,,,,,,,,,,
114,809593,1/13/2009,Congressman Ralph M. Hall,<b>(t')    |s trying to obtain student visa,,,,,,,,,,
115,811254,1/29/2009,Congressman Jane Harman,Provides a short set of recommendations for the Office of Intelligence and Analysis based on her remarks to the Major City Chiefs of Police and Sheriffs and invites the Secretary to visit her California district.,,,,,,,,,,
116,811587,1/30/2009,Congressman Jane Harman,"Recommends appointing a law enforcement officer for Under Secretary of I&A, and asks the Secretary to consider6)    | andfor the position.",,,,,,,,,,
117,810516,1/22/2009,Congressman Maurice D. Hinchey,<bK6t    regarding stop payment of check for 1-600 which was abandoned,,,,,,,,,,
118,,,,,,,,,,,,,,
119,808891,1/8/2009,Congressman Paul W. Hodes,"(b),6)    who is looking into the delays with his step- daughter, |,b)t6'1    land his attempts to bring her here from Cambodia.",,,,,,,,,,
120,811544,1/30/2009,Congressman Rush Holt,Status of 1-131 for herself and her son ’bt<6),,,,,,,,,,
121,811619,1/30/2009,Congressman Kay Bailey Hutchison,"Andrea Zizack, United States Department of Agriculture, referred Sen. Kay Bailey Hutchison. Hutchison writes on behalf of her constituent, |<b><6>    ^o. request a resolution in the matter of a container re- exported upon arrival at the port of Houston.",,,,,,,,,,
122,811522,1/30/2009,Congressman Bob Inglis,"Representative Inglis requests the Large Aircraft Security Program, Other Aircraft Operator Security Program, and Airport Operator Security Program be reconsidered with members of the industry.",,,,,,,,,,
123,808611,1/7/2009,Senator Johnny Isakson,"(b)(6)    |a refugee, needs Senator Isakson’s assistance to reunite his family, wife, son and daughter, in the United States",,,,,,,,,,
124,809573,1/14/2009,Senator Johnny Isakson,"Re ,b)(6>    (concerning an 1-601 waiver that requires further review for the following reason (Lack of sufficient extreme hardship evidence for this case.",,,,,,,,,,
125,,,,,,,,,,,,,,
126,810271,1/16/2009,Senator Johnny Isakson,Re: (b)(6)    [pending 1-485.,,,,,,,,,,
127,810379,1/21/2009,Senator Johnny Isakson,Re: (b><6>    eview of information accordance with established policies and procedures for his family.,,,,,,,,,,
128,810532,1/22/2009,Senator Johnny Isakson,"Re: DL and status verification problem, for <bt<6)",,,,,,,,,,
129,810554,1/22/2009,Senator Johnny Isakson,Re: <bK6-)    2DJ-waiver expedite request.,,,,,,,,,,
130,810855,1/26/2009,Congressman Walter B. Jones,(b)(b)    filed a 1-601.,,,,,,,,,,
131,808547,1/6/2009,Congressman Edward M. Kennedy,Chancellor Professor Chi Hau Chen of University of Massachusetts Dartmouth requests assistance on behalf ofW6>    to expedite (b>'Ct    J-l visa application.,,,,,,,,,,
132,,,,,,,,,,,,,,
133,808883,1/8/2009,Senator John F. Kerry,regarding her husband immigration case.,,,,,,,,,,
134,809173,1/12/2009,Congressman Dale E„ Kildee,{bM6>    regarding his wifeJ(b)(6)    land his refusing to sign an 1-751 to change his wife's status from conditinal resident to permanent resident.,,,,,,,,,,
135,808123,1/2/2009,Senator Amy Klobuchar,regarding anI-601 application.,,,,,,,,,,
136,808124,1/2/2009,Senator Amy Klobuchar,(b)(6)    (requests status on her 1-131 and 1-134 applications,,,,,,,,,,
137,808219,1/5/2009,Senator Amy Klobuchar,"(b'(6)    ‘egardi ng 1-765 on behalf of her husband, Mr. (b)(6)",,,,,,,,,,
138,808740,1/8/2009,Senator Amy Klobuchar,ib^6i    regarding his nephew's public interest parole petition. (Case(b)(6) (b)(6),,,,,,,,,,
139,,,,,,,,,,,,,,
140,810018,1/16/2009,Senator Amy Klobuchar,Wt'6)    filed 1-600 for a Nairobi adoption.,,,,,,,,,,
141,810120,1/16/2009,Senator Amy Klobuchar,"Writes on behalf of constituent <b',6!    regarding the completion of his Department of Homeland Security background check.",,,,,,,,,,
142,810916,1/22/2009,Senator Amy Klobuchar,"(b}(6)    filed 1-601 waiver for her husband, (b)(6) (b)(6)",,,,,,,,,,
143,811436,1/30/2009,Senator Amy Klobuchar,Status of 1-730 for his wifej<b><6)    1,,,,,,,,,,
144,811625,1/23/2009,Congressman Frank Kratovil,bX6>    ”|;on..|(bX6)    Tneeds assistance with immigration case.,,,,,,,,,,
145,808231,1/5/2009,Senator Mary L. Landrieu,Senator Landrieu writes to request that DHS delay the initiation of a TS A contract.,,,,,,,,,,
146,,,,,,,,,,,,,,
147,808599,1/7/2009,Senator Mary L. Landrieu,Members of the Louisiana State Delegation show support for Mr. <b>(6)    enabling to achieve permanent residency in the United States,,,,,,,,,,
148,809113,1/12/2009,Senator Mary L. Landrieu,Re: (bK6i    regarding a denial of a tourist visa(Humanitarian Parole).,,,,,,,,,,
149,809462,12/23/2008,Congressman Steven LaTourette,Writes on behalf of his constituentfbJ(6>    :oncerning funding for his work with the National Institute of Standards and Technology.,,,,,,,,,,
150,811122,1/28/2009,Senator Patrick J. Leahy,Expresses concern that critical features of the land and sea deployment of the Western Hemisphere Travel Initiative have not been met and requests DHS and DOS provide specific certifications prior to the rollout.,,,,,,,,,,
151,808620,1/7/2009,Senator Carl Levin,"|(b)(6>    regarding the humanitarian Parole request, on behalf of his mother,<b!(6)",,,,,,,,,,
152,,,,,,,,,,,,,,
153,808842,1/7/2009,Senator Carl Levin,regarding a request for humanitarian parole filed on behalf of her daughterJ(b)l-6-!,,,,,,,,,,
154,808861,1/7/2009,Senator Carl Levin,(bH6>    Iregarding an 1-601 application that was,,,,,,,,,,
155,,,,filed on behalf of her husband (b)(6),,,,,,,,,,
156,811369,1/29/2009,Senator Carl Levin,Status of 1-601 for her husband|<b)(6),,,,,,,,,,
157,811405,1/30/2009,Senator Carl Levin,Regarding the verification of him not having been deported. He asserts that there is incorrect information in his file.,,,,,,,,,,
158,809744,1/13/2009,Congressman Frank A. LoBiondo,"’h’16-1    is requests information regarding immigration, tax breaks and grants.",,,,,,,,,,
159,811191,1/28/2009,Congressman Frank A. LoBiondo,Status of husbands 1-601. Husband name is,,,,,,,,,,
160,811594,1/30/2009,Congressman Frank A. LoBiondo,Status of 1-130 for her husbandp){0),,,,,,,,,,
161,808794,1/7/2009,Congressman Zoe Lofgren,are now in Mexico with their children are awaiting the status of the 1-601 waiver application filed for her husband.,,,,,,,,,,
162,,,,,,,,,,,,,,
