Sort,X2,X3,X4,X5,X6,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
2,Policy Congressional Report,,,,,,,,,,,,,,
3,Opened Between 01/01/2010 and 01/31/2010,,,,,,,,,,,,,,
4,WF#,Receive Date,Congressman Name,Subject of Request,,,,,,,,,,,
5,852791,1/8/2010,Congressman Gary L. Ackerman,"Re: 1-730 case, for(b)(6)",,,,,,,,,,,
6,852824,1/9/2010,Congressman Gary L. Ackerman,<bKo!    .s requesting status of 1-730 for(btl6>,,,,,,,,,,,
7,852825,1/9/2010,Congressman Gary L. Ackerman,s requesting status of 1-730 for(bHb' (b)(6),,,,,,,,,,,
8,852826,1/9/2010,Congressman Gary L. Ackerman,(b)(6)    js reqUesting status of 1-730 for <b)(6},,,,,,,,,,,
9,852828,1/9/2010,Congressman Gary L. Ackerman,"(b)(6)    ,s requesting status of 1-730 foi(b)(6) (b)(6)",,,,,,,,,,,
10,852831,1/9/2010,Congressman Gary L. Ackerman,(bX6)    is requesting status of 1-730 for(b)(6) (b)(6),,,,,,,,,,,
11,852838,1/9/2010,Congressman Gary L. Ackerman     ,(tn<6>    12 request regarding the status of an 1-730.,,,,,,,,,,,
12,852966,1/11/2010,Congressman Gary L. Ackerman,Re a 1-730 case.,,,,,,,,,,,
13,854492,1/27/2010,Congressman Gary L. Ackerman,Re the status of 1-485,,,,,,,,,,,
14,854597,1/28/2010,Congressman Gary L. Ackerman,Customer was a status on the petitions filed for her family.,,,,,,,,,,,
15,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,
17,854756,1/28/2010,Congressman Gary L. Ackerman,Inquiry on Form 1-730 Petition interviews,,,,,,,,,,,
18,854909,1/29/2010,Congressman Gary L. Ackerman,Customer would like to know ihe status of her daughters Form 1-730 Petition.,,,,,,,,,,,
19,854917,1/29/2010,Congressman Gary L. Ackerman,CUSTOMER IS REQUESTING THE STATUS OF A fORM 1-730 PETITION,,,,,,,,,,,
20,853416,1/14/2010,Congressman Robert B. Aderholt,status of an 1-601.,,,,,,,,,,,
21,852303,1/5/2010,Senator Lamar Alexander,"Writes on behalf of constituents^1’/0! mw regarding their removal from positions they held at the John Duncan Federal Building in Knoxville, TN.",,,,,,,,,,,
22,854748,1/28/2010,Congressman Rodney Alexander,Status request on a denied Form 1-485,,,,,,,,,,,
23,854869,1/29/2010,Congressman Jason Allmire,writes to Congressman Altmire regarding his wife's negative experience going through customs and his name being on a watch list.,,,,,,,,,,,
24,,,,,,,,,,,,,,,
25,852797,1/9/2010,Congressman Robert E. Andrews,(b)(b)    is requesting replacement of naturalization docs.,,,,,,,,,,,
26,853730,1/19/2010,Congressman Robert E. Andrews,"Rep. Andrews writes on behalf of his constituent, <bt<6> regarding TSA garnishing money for attorney fees.",,,,,,,,,,,
27,853431,1/14/2010,Congressman Steve Austria,(b)(6}    filed 1-601 for her husband M0) (b)(6),,,,,,,,,,,
