state,vetpop2010
Alabama,"388,865"
Alaska,"71,004"
Arizona,"522,382"
Arkansas,"237,311"
California,"1,893,539"
Colorado,"399,458"
Connecticut,"217,947"
Delaware,"75,081"
District of Columbia,"30,520"
Florida,"1,569,406"
Georgia,"690,208"
Hawaii,"112,625"
Idaho,"122,955"
Illinois,"727,919"
Indiana,"455,105"
Iowa,"226,175"
Kansas,"211,113"
Kentucky,"312,365"
Louisiana,"304,271"
Maine,"126,842"
Maryland,"427,068"
Massachusetts,"383,087"
Michigan,"672,213"
Minnesota,"366,990"
Mississippi,"200,748"
Missouri,"479,828"
Montana,"94,404"
Nebraska,"142,176"
Nevada,"226,555"
New Hampshire,"112,790"
New Jersey,"437,652"
New Mexico,"172,717"
New York,"912,499"
North Carolina,"724,295"
North Dakota,"53,157"
Ohio,"864,923"
Oklahoma,"312,492"
Oregon,"323,205"
Pennsylvania,"943,417"
Rhode Island,"70,621"
South Carolina,"391,660"
South Dakota,"67,886"
Tennessee,"484,901"
Texas,"1,583,272"
Utah,"143,771"
Vermont,"48,456"
Virginia,"726,470"
Washington,"582,265"
West Virginia,"159,448"
Wisconsin,"408,870"
Wyoming,"50,852"
