X1,ID,DATE,filed_date,docket,SUBJECT,file_name,url,link_text,FROM,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES,ERROR
1,20190311-0022,2019-03-05,2019-03-11,P-14861-000,The Klickitat County Board of County Commissioners submits comments re the Intent and Pre- Application Document for the Goldendale Energy Storage Project under P-14861.Availability: Public,20190311-0022-15179679.tif; 20190311-0022-15181779.pdf,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15179679; https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15181779,Image; FERC Generated PDF,,,,,,,,,
3,20190221-0008,2019-02-21,2019-02-21,RM18-9-000,Rulemaking comments of Senator Sheldon Whitehouse et al. urging FERC to adopt final rule that enables all distributed energy resources (DERs) the opportunity to participate in RTO/ISO wholesale markets under RM18-9.Availability: Public,20190221-0008-15165864.tif; 20190221-0008-15166036.pdf,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15165864; https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15166036,Image; FERC Generated PDF,,,,,,,,,
5,20190211-0007,2019-02-11,2019-02-11,EL19-9-000,"Congressman Frank Pallone Jr. submits comments re Stonegate Power, LLC v. PJM Interconnection, and LLC under EL19-9.Availability: Public",20190211-0007-15160353.tif; 20190211-0007-15160373.pdf,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15160353; https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15160373,Image; FERC Generated PDF,,,,,,,,,
6,20190221-0009,2019-02-11,2019-02-11,RM18-9-000,Rulemaking comments Congressman Peter Welch et al urging FERC to adopt final rule that enables all distributed energy resources (DERs) the opportunity to participate in RTO/ISO wholesale markets under RM18-9.Availability: Public,20190221-0009-15165865.tif; 20190221-0009-15166000.pdf,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15165865; https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15166000,Image; FERC Generated PDF,,,,,,,,,
7,20190208-0023,2019-02-07,2019-02-07,P-2413-000,US Representative Jody Hice requests information on the status and timeline regarding the application for the Wallace Dam Project under P-2413.Availability: Public,20190208-0023-15159289.tif; 20190208-0023-15159444.pdf,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15159289; https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15159444,Image; FERC Generated PDF,,,,,,,,,
2,20190226-0015,2019-02-04,2019-02-26,CP16-480-000,Alex Dominguez of the Texas House of Representative submits comments re the Annova LNG Project under CP16-480.Availability: Public,20190226-0015-15169480.tif; 20190226-0015-15169659.pdf,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15169480; https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15169659,Image; FERC Generated PDF,,,,,,,,,
8,20190131-4000,2019-01-29,2019-01-31,CP19-14-000,U.S. Congressman Denver Riggleman forwards the completed privacy release form on behalf of constituent re the temporary easement used by Mountain Valley Pipeline on her property under CP19-14.Availability: Public,20190131-4000-15156024.pdf; 20190131-4000-15156337.pdf,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15156024; https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15156337,PDF; FERC Generated PDF,,,,,,,,,
9,20190131-4001,2019-01-29,2019-01-31,CP19-14-000,U.S. Congressman Denver Riggleman forwards the completed privacy release form on behalf of a constituent re the temporary easement used by Mountain Valley Pipeline on her property under CP19-14.Availability: Privileged,20190131-4001-15156025.pdf; 20190131-4001-15156339.pdf,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15156025; https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15156339,PDF; FERC Generated PDF,,,,,,,,,
10,20190131-4002,2019-01-28,2019-01-31,CP18-46-000,U.S. Congressman Brian Fitzpatrick submit comments re the Adelphia Gateway Pipeline Project under CP18-46.Availability: Public,20190131-4002-15156112.pdf; 20190131-4002-15156465.pdf,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15156112; https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15156465,PDF; FERC Generated PDF,,,,,,,,,
11,20190125-0026,2019-01-17,2019-01-25,CP19-26-000,State Representative Chris Sainato submits letter re Dominion Energy's West Loop Project under CP19-26.Availability: Public,20190125-0026-15148088.tif; 20190125-0026-15148584.pdf,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15148088; https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15148584,Image; FERC Generated PDF,,,,,,,,,
4,20190222-0020,2019-01-15,2019-02-21,P-2305-000,The State of Texas Representative James White submits comments re the Toledo Bend under P-2305.Availability: Public,20190222-0020-15167478.tif; 20190222-0020-15167767.pdf,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15167478; https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15167767,Image; FERC Generated PDF,,,,,,,,,
12,20181226-0008,2018-12-19,2018-12-20,P-1250-020P-14836-000,"U.S. Congresswoman Grace F. Napolitano, et al. submit comments re the Conduit Exemption Application and Renewal of USFS Special-Use-Permit for the Azusa Hydroelectric Power Project under P-1250, et al.Availability: Public",20181226-0008-15127104.tif; 20181226-0008-15127131.pdf,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15127104; https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=15127131,Image; FERC Generated PDF,,,,,,,,,
