ID,company_short,company,n
20041018-0032,NOT A COMPANY?,Army Corps of Engineer,37
20041018-0032,NOT A COMPANY?,Environmental Protection Agency,37
20041018-0032,NOT A COMPANY?,Department of Interior,37
20040813-0003,NOT A COMPANY?,"Energy,",37
20040702-0083,NOT A COMPANY?,N/A,37
20020509-0028,NOT A COMPANY?,Regional Transmission Organization West,37
20020509-0027,NOT A COMPANY?,Regional Transmission Organization West,37
20020506-0005,NOT A COMPANY?,Regional Transmission Organization West,37
20020117-0167,NOT A COMPANY?,Army Corps of Engineers,37
20020117-0166,NOT A COMPANY?,Army Corps of Engineers,37
20020102-0092,NOT A COMPANY?,Army Corps of Engineers,37
20020102-0089,NOT A COMPANY?,Congressional Black Caucus,37
20010713-0475,NOT A COMPANY?,FERC,37
20000828-0077,NOT A COMPANY?,Natural Gas,37
20170621-0007,NOT A COMPANY?,FERC Project No. 12569,37
20141121-0009,NOT A COMPANY?,NO,37
20140618-0037,NOT A COMPANY?,Hydropower Project at Pike Island Locks and Dam,37
20040701-0067,NOT A COMPANY?,N/A,37
20040322-0269,NOT A COMPANY?,Natural Gas,37
20040312-0255,NOT A COMPANY?,NO,37
20040217-0006,NOT A COMPANY?,Liquid Natural Gas,37
20040217-0004,NOT A COMPANY?,Liquid Natural Gas,37
20020102-0289,NOT A COMPANY?,Clean Water Act,37
20011221-0109,NOT A COMPANY?,Clean Water Act,37
20011016-0207,NOT A COMPANY?,Clean Water Act,37
20010928-0114,NOT A COMPANY?,Clean Water Act,37
20010917-0169,NOT A COMPANY?,Clean Water Act,37
20010917-0158,NOT A COMPANY?,Clean Water Act,37
20010820-0181,NOT A COMPANY?,Clean Water Act,37
20010820-0177,NOT A COMPANY?,Clean Water Act,37
20010820-0174,NOT A COMPANY?,Clean Water Act,37
20010820-0145,NOT A COMPANY?,Clean Water Act,37
20010806-0619,NOT A COMPANY?,Clean Water Act,37
20010726-0428,NOT A COMPANY?,Clean Water Act,37
20010709-0275,NOT A COMPANY?,Clean Water Act,37
20010709-0274,NOT A COMPANY?,Clean Water Act,37
20000828-0070,NOT A COMPANY?,Natural Gas Pipeline Project,37
20151124-0021,Atlantic Coast,"Atlantic Coast Pipeline,",21
20150507-0015,Atlantic Coast,Atlantic Coast Pipeline,21
20150430-0037,Atlantic Coast,Atlantic Coast Pipeline,21
20180731-0107,Atlantic Coast,Atlantic Coast Pipeline Project,21
20180726-5029,Atlantic Coast,Atlantic Coast Pipeline Project,21
