IDs,company_short,company_short_refs,n
20030716-0209; 20060628-0012; 20040902-0041; 20040824-0164; 20040813-0002; 20040716-0159; 20040716-0158; 20040712-0075; 20040712-0074; 20040618-0006; 20030220-0083; 20021104-0076; 20021008-0089; 20021008-0081; 20021008-0062; 20021008-0059; 20020923-0162; 20020702-0042; 20020625-0063; 20020610-0326; 20020604-0437; 20020524-0456; 20020524-0455; 20020521-0017; 20020510-0257; 20020506-0181; 20020419-0157; 20020403-0764; 20020403-0762; 20020403-0567; 20020304-0355; 20020304-0353; 20020304-0245; 20020304-0244; 20020215-0229; 20020215-0228; 20020214-0732; 20020214-0727; 20030221-0291,Enron,Enron; Enron Corporation; Enron Co.; Enron Corp,85
20151124-0021; 20150507-0015; 20150430-0037; 20180731-0107; 20180726-5029; 20180720-0008; 20180515-0006; 20180511-0008; 20180330-0012; 20180216-0014; 20180111-0006; 20170921-0021; 20170915-0007; 20170714-4014(partial); 20170214-0133; 20151211-0026; 20141112-0113; 20141104-0024; 20141020-4009; 20170802-0031; 20170609-0037; 20170508-0009(partial); 20160826-0009; 20160617-0025; 20160406-0022; 20160329-0031; 20160325-0008; 20151203-0012(partial); 20150826-0036; 20150826-0031; 20150603-0088; 20150504-0007; 20150410-0009; 20150311-0008; 20150311-0007; 20150303-0016,Atlanticst,"Atlantic Coast Pipeline,; Atlantic Coast Pipeline; Atlantic Coast Pipeline Project; Atlantic Coast Pipeline project",64
20020509-0028; 20020509-0027; 20020506-0005,Regional Transmission Organization West,Regional Transmission Organization West,60
20080619-0123; 20150126-0033; 20150115-0028; 20141229-0090; 20130108-0016; 20030305-0180; 20021206-0098; 20021018-0239; 20020610-0153; 20020610-0152; 20020610-0151; 20020610-0149; 20020610-0148; 20020610-0147; 20020610-0146; 20020610-0145; 20020610-0144; 20020610-0143; 20020610-0142; 20020610-0141; 20020524-0542; 20020521-0016; 20020521-0015; 20020521-0014; 20020521-0013; 20020521-0012; 20020521-0011; 20020521-0010; 20020509-0097; 20020423-0285; 20020423-0283; 20020423-0282; 20020423-0281; 20020423-0280; 20020423-0279; 20020423-0278; 20020423-0120; 20020423-0119; 20020423-0118; 20020423-0117; 20020423-0116; 20020423-0115; 20020423-0114; 20020423-0106; 20020403-0672; 20020403-0671; 20020403-0669; 20020403-0668; 20020403-0667; 20020403-0666; 20020403-0653; 20020403-0651; 20020403-0649; 20020318-0738; 20020315-0080; 20020311-0007; 20011010-0217; 20011005-0099; 20010806-0443,Dominion Transmission,"Dominion Transmission,; Dominion Transmission",59
20171208-0016; 20160523-0008; 20021008-0082; 20020617-0403; 20001229-0112; 20170508-0011(partial); 20110302-0023; 20101119-0024; 20100804-0015; 20100525-0030; 20100525-0021; 20080522-0130; 20080522-0129; 20061011-0271(partial); 20061010-0221; 20041018-0033; 20021206-0130; 20021206-0098; 20021018-0239; 20021008-0087; 20021008-0068; 20021008-0066; 20021008-0060; 20020813-0003; 20020730-0177; 20020520-1521; 20020503-0166; 20020423-0284; 20011004-0504; 20011004-0498; 20011002-0352; 20010709-0593; 20010709-0410; 20010703-0111; 20011018-0219; 20010820-0097,Duke,"Duke; Duke, Dynergy, Mirant, Reliant, AES and Williams",56
20180411-0025; 20171020-0018; 20170918-0007; 20170802-0031; 20170609-0037; 20150826-0036; 20150826-0031; 20060622-0070; 20030123-0074; 20021023-0211; 20021001-0192; 20021001-0191; 20020930-0236; 20020930-0230; 20020930-0229; 20020930-0228; 20020930-0227; 20020930-0226; 20020930-0220; 20020926-0397; 20020924-0059; 20020910-0166; 20020910-0164; 20020909-0633; 20020909-0178; 20020823-0296; 20020815-0648; 20020815-0640; 20020813-0319; 20020813-0007; 20020716-0149; 20020716-0145; 20020716-0141; 20020716-0140; 20020702-0076; 20020702-0068; 20020702-0061; 20020625-0315; 20020625-0314; 20020625-0313; 20020625-0312; 20020625-0311; 20020625-0310; 20020625-0309; 20020621-0230; 20020617-0409; 20020610-0156; 20020610-0155; 20020610-0154; 20010709-0426,Dominion,"Dominion; Dominion, Duke, Piedmont NEnural Qas, and  AGL Resources.; Dominion Gas; Dominion Corp; Dominion Pipeline Corp; Dominion Gas Pipeline project",51
20171129-0011; 20171012-0012; 20170615-0007; 20160506-0033; 20160315-0013; 20160119-0008; 20151103-0008; 20151103-0007; 20040305-0198; 20130124-0015; 20120712-0003; 20090908-0068; 20090812-0016; 20090527-0015; 20090508-0077; 20081222-0201; 20081113-0083; 20081001-0013; 20081001-0012; 20080731-0190; 20020807-3146; 20020204-0078; 20020129-0194; 20020117-0167; 20020117-0166; 20020117-0098; 20020102-0245; 20020102-0240; 20020102-0093; 20020102-0092; 20020102-0090; 20020102-0089; 20020102-0088; 20011108-0078; 20010815-0584; 20150129-0016; 20010820-0130,Columbia Gas Transmission,"Columbia Gas Transmission,; Columbia Gas Transmission; Columbia Gas Transmission Corporation; Columbia Gas Transmission Corp; Columbia Gas Transmission Pipeline",51
20170809-0032; 20170802-0032; 20170728-0018; 20170712-0125; 20170712-0119; 20170707-0013; 20160519-0010; 20160419-0011; 20160419-0010; 20160411-0008; 20150402-0007; 20150115-0026; 20141229-0087; 20120816-0006; 20091028-0041; 20150420-0007; 20150204-0013; 20060907-0127; 20060823-0271,Pacificnector,Pacific Connector Gas Pipeline project; Pacific Connector Gas Pipeline Project; Pacific Connector Pipeline project; Pacific Connector Project; Pacific Connector Gas Pipeline; Pacific Connector Pipeline Projects,51
20030623-0120; 20030320-0389; 20030320-0395; 20030320-0394; 20030313-0205; 20021104-0114; 20040525-0094; 20030612-0044; 20031120-0108; 20030813-0102; 20030602-0112; 20030326-0285; 20030305-0180; 20021023-0211; 20020919-0119; 20020610-0153; 20020610-0152; 20020610-0151; 20020610-0149; 20020610-0148; 20020610-0147; 20020610-0146; 20020610-0145; 20020610-0144; 20020610-0143; 20020610-0142; 20020610-0141; 20020524-0542; 20020521-0016; 20020521-0015; 20020521-0014; 20020521-0013; 20020521-0012; 20020521-0011; 20020521-0010; 20020403-0672; 20020403-0671; 20020403-0669; 20020403-0668; 20020403-0667; 20020403-0666; 20020403-0655; 20020403-0653; 20020403-0651; 20020403-0649; 20020318-0738; 20020315-0080; 20020311-0007; 20010709-0426,Greenbrier,Greenbrier Pipeline Corporation; Greenbrier Pipeline; Greenbrier Pipeline Co.; Greenbrier Pipeline Project; Greenbrier Pipeline Project.,50
20150402-0009; 20160105-0021; 20150518-0133; 20150430-0038; 20150204-0011; 20160510-0011; 20160510-0010; 20160428-0006; 20160405-0074; 20160401-0060; 20160329-0033; 20160325-0007; 20160309-0119; 20160226-0015; 20160212-0013; 20151216-0008; 20151103-0009; 20151022-0040; 20151020-0012; 20151019-0007; 20150914-0025; 20150914-0007; 20150908-0011; 20150812-0015; 20150804-0057; 20150730-0012; 20150728-0017; 20150715-0058; 20150505-0193; 20150311-0006; 20141107-0007,Northeast,Northeast,46
