"Department","agency"
"American Battle Monuments Commission","ABMC"
"Broadcasting Board of Governors","BBG"
"Central Intelligence Agency","CIA"
"Commodity Futures Trading Commission","CFTC"
"Consumer Financial Protection Bureau","CFPB"
"Consumer Product Safety Commission","CPSC"
"Corporation for National and Community Service","CNCS"
"Department of Agriculture","USDA_NAL"
"Department of Agriculture","USDA_AMS"
"Department of Agriculture","USDA_ARS"
"Department of Agriculture","USDA_APHIS"
"Department of Agriculture","USDA_CNPP"
"Department of Agriculture","USDA_ERS"
"Department of Agriculture","USDA_FSA"
"Department of Agriculture","USDA_FNS"
"Department of Agriculture","USDA_FSIS"
"Department of Agriculture","USDA_FAS"
"Department of Agriculture","USDA_FS"
"Department of Agriculture","USDA_GIPSA"
"Department of Agriculture","USDA_MRP"
"Department of Agriculture","USDA_NASS"
"Department of Agriculture","USDA_NAD"
"Department of Agriculture","USDA_NFC"
"Department of Agriculture","USDA_NIFA"
"Department of Agriculture","USDA_NRCS"
"Department of Agriculture","USDA_OBPA"
"Department of Agriculture","USDA_OASCR"
"Department of Agriculture","USDA_OIG"
"Department of Agriculture","USDA_RD"
"Department of Agriculture","USDA_CFO"
"Department of Agriculture","USDA_CIO"
"Department of Agriculture","USDA_OES"
"Department of Agriculture","USDA_GC"
"Department of Agriculture","USDA_REE"
"Department of Agriculture","USDA_RMA"
"Department of Agriculture","USDA_RUS"
"Department of Commerce","DOC_BEA"
"Department of Commerce","DOC_BIS"
"Department of Commerce","DOC_CEN"
"Department of Commerce","DOC_EDA"
"Department of Commerce","DOC_ESA"
"Department of Commerce","DOC_IOS"
"Department of Commerce","DOC_ITA"
"Department of Commerce","DOC_OMAO"
"Department of Commerce","DOC_MAC"
"Department of Commerce","DOC_MBDA"
"Department of Commerce","DOC_NIST"
"Department of Commerce","DOC_NOAA"
"Department of Commerce","DOC_NTIA"
"Department of Commerce","DOC_OCPA"
"Department of Commerce","DOC_OS"
"Department of Commerce","DOC_PTO"
"Department of Commerce","DOC_CS"
"Department of Defense","DOD_AFIS"
"Department of Defense","DOD_CAPE"
"Department of Defense","DOD_DAU"
"Department of Defense","DOD_DARPA"
"Department of Defense","DOD_DCS"
"Department of Defense","DOD_DCAA"
"Department of Defense","DOD_DCMA"
"Department of Defense","DOD_DEOMI"
"Department of Defense","DOD_DHRA"
"Department of Defense","DOD_DISA"
"Department of Defense","DOD_DIA"
"Department of Defense","DOD_DLSA"
"Department of Defense","DOD_DLA"
"Department of Defense","DOD_DMA"
"Department of Defense","DOD_DMEA"
"Department of Defense","DOD_DPMO"
"Department of Defense","DOD_DSCA"
"Department of Defense","DOD_DSS"
"Department of Defense","DOD_DTSA"
"Department of Defense","DOD_TRMC"
"Department of Defense","DOD_DTRA"
"Department of Defense","DOD_DTMO"
"Department of Defense","DOD_ARMY"
"Department of Defense","DOD_DOTE"
"Department of Defense","DOD_MDA"
"Department of Defense","DOD_NDU"
"Department of Defense","DOD_NSA"
"Department of Defense","DOD_NCIS"
"Department of Defense","DOD_OEA"
"Department of Defense","DOD_OMC"
"Department of Defense","DOD_PR"
"Department of Defense","DOD_PFPA"
