DeptID,EOP,ExecDepartment,Independent,SubBureau,AgencyID,Agency,DateofCreation,Statute,Sub-agency bureaus,Employees,Commission,Commissioners/Board Members,QuorumRules,QuorumNumber,PAS,NA,SchC,PA,XS,Agency-specific personnel,Citizen of US,Civilian,Geographic,Demographic,Expertise,Conflict of Interest ,Congressional Input,Party Balancing,Fixed Terms,Term Length,Staggered Terms,For Cause,Double for Cause,Bureau Fixed Term,ServePresident,Continuation Replacement,Acting Service Rules,PAS Head,President Selects Chair,Elected Head,Outside Head,Chair Removal,No OMB Budget Review,No OMB Rule Review,No OMB Communication Review,Independent Litigating,Independent Funding,Committeesconfirmingapps,Reporting Requirements,Number of Committees,Reporting Committees,CIO,IG,CFO,Sunshine,Review Commissions,Advisory Commissions,Establish Advisory Commissions,Outside Approval,Legislative Veto,Rulemaking,Economically Significant Rule,Hearing-based Rulemaking,Adjudication,Adjudication(APA),ALJs (Association),ALJs (Breyer)
20000,0,0,1,0,20100,Administrative Conference of the United States,8/30/1964,5 U.S.C. 591-596,1,13,0,75-101,0,,,,,,,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,Judiciary,1,0,,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0
20000,0,0,1,0,20200,Appalachian Regional Commission,3/9/1965,40 U.S.C. 14101-14322,0,11,0,15,1,,2,0,1,0,0,2,0,0,1,0,0,1,0,0,0,,.,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"1, 7",Environment and Public Works,2,2,S. Environment and Public Works; H. Transportation and Infrastructure,0,2,0,0,0,0,0,0,0,0,,0,1,0,0,0
20000,0,0,1,0,20300,Barry Goldwater Scholarship and Excellence in Education Program,11/14/1986,20 U.S.C. 4701-4711,0,6,0,13,0,,0,1,0,0,0,2,0,0,0,0,0,0,1,1,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"1, 3, 5","Health, Education, Labor, and Pensions",1,0,,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,0
15000,0,1,0,1,15000,Board of Veterans Appeals,9/2/1958,38 U.S.C. 7101-7112,0,539,1,2+,0,,1,0,0,0,2,0,0,0,0,0,1,1,0,0,1,6,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Veterans Affairs,1,0,,0,0,0,0,0,0,0,1,0,0,,0,1,0,0,0
20000,0,0,1,0,20400,Broadcasting Board of Governors,10/1/1999,22 U.S.C. 6203-6216,7,1744,0,9,1,5,17,2,1,0,0,0,1,0,0,0,1,1,0,1,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Foreign Relations,3,4,S. Foreign Relations; S. Appropriations; H. Foreign Affairs H. Appropriations,0,2,0,1,0,0,0,0,0,1,,0,0,0,0,0
20000,0,0,1,0,20500,Central Intelligence Agency,7/26/1947,50 U.S.C. 403-4 - 403x; 431,1,2333,0,.,.,.,3,0,0,0,0,3,0,0,0,0,0,0,0,.,0,,.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1, 3, 4, 5, 9",Intelligence,3,2,S. Intelligence; H. Intelligence,0,3,0,0,0,0,0,0,0,1,,0,0,0,0,0
20000,0,0,1,0,20600,Chemical Safety and Hazard Investigation Board,11/15/1990,42 U.S.C. 7412(r)(6),0,41,1,5,0,,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,Environment and Public Works,2,0,,0,1,0,1,0,0,0,0,0,1,,0,1,0,0,0
20000,0,0,1,0,20700,Commodities Futures Trading Commission,10/24/1974,7 U.S.C. 1-27f,0,665,0,1,0,,5,0,10,0,0,2,0,0,0,0,1,1,0,1,1,5,1,0,0,0,1,1,0,1,0,0,0,3,1,1,1,1,"5, 7","Agriculture, Nutrition, and Forestry",2,4,"S. Appropriations; S. Agriculture, Nutrition and Forestry; H. Appropriations; H. Agriculture",0,2,0,1,0,1,0,1,1,1,,0,1,0,1,1
20000,0,0,1,0,20800,Consumer Product Safety Commission,9/27/1972,15 U.S.C. 2051-2089,10,548,1,5,1,3,5,1,9,0,0,0,0,0,0,0,1,1,0,1,1,7,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,"Commerce, Science, and Transportation",7,2,"S. Commerce, Science, and Transportation; H. Energy and Commerce",0,2,0,1,0,1,0,0,0,1,,0,1,1,0,0
20000,0,0,1,0,20900,Corporation for National Community Service,9/21/1993,42 U.S.C. 12651-12651k,0,608,0,15,1,8,18,0,0,0,25,3,0,0,0,1,1,0,0,1,1,5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,"Health, Education, Labor, and Pensions; Homeland Security and Governmental Affairs (IG sequential referral)",1,0,,0,3,0,1,0,0,1,1,0,1,,0,0,0,0,0
20000,0,0,1,0,21000,Corporation for Public Broadcasting,11/7/1967,47 U.S.C. 396,0,,0,9,0,,,,,,,3,1,0,1,0,1,1,0,1,1,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,9,"Commerce, Science, and Transportation",2,0,,0,2,0,1,0,0,0,0,0,0,,0,0,0,0,0
16000,1,0,0,0,16100,Council of Economic Advisors,2/20/1946,15 U.S.C. 1021-1025,0,23,0,3,0,,3,0,3,0,0,1,0,0,0,0,1,0,0,0,0,,.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"Banking, Housing, and Urban Affairs",1,0,,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0
16000,1,0,0,0,16200,Council on Environmental Quality,1/1/1970,42 U.S.C. 4342-4347,0,23,0,3,0,,3,0,3,0,0,1,0,0,0,0,1,0,0,0,0,,.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Environment and Public Works,0,0,,0,0,0,,0,1,0,0,0,1,,0,0,0,0,0
20000,0,0,1,0,21100,Defense Nuclear Facilities Safety Board,9/29/1988,42 U.S.C. 2286-2286j,0,108,0,5,1,3,5,0,0,0,1,0,1,1,0,0,1,1,0,1,1,5,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,Armed Services,2,2,S. Armed Services; S. Appropriations,0,1,0,1,0,0,0,1,0,1,,0,1,0,1,1
20000,0,0,1,0,21200,Delta Regional Authority,12/21/2000,7 U.S.C. 2009aa-2009aa-13,0,,0,9,0,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,Environment and Public Works,1,0,,0,1,0,0,0,0,0,0,0,1,,0,1,0,0,0
1000,0,1,0,0,1000,Department of Agriculture,5/15/1862,7 U.S.C. 2201-2279h,18,105126,0,.,.,,16,0,168,0,0,0,0,0,0,0,0,0,0,.,0,,.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,"Agriculture, Nutrition, and Forestry; Homeland Security and Governmental Affairs (IG sequential referral)",6,2,"S. Agriculture, Nutrition, and Forestry; H. Agriculture",1,3,2,0,0,0,0,0,0,1,1,1,1,1,0,0
2000,0,1,0,0,2000,Department of Commerce,2/14/1903,15 U.S.C. 1501-1542,9,47626,0,.,.,,23,33,103,2,0,0,0,0,0,0,0,0,0,.,0,,.,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,"Banking, Housing, and Urban Affairs (2 Under Secretaries, 3 Assistant Secretaries); Commerce, Science, and Transportation (everything else); Environment and Public Works (Assistant Secretary Economic Development); Finance (2 Assistant Secretary and Under Secretary of International Trade referred jointly w/BHUA); Homeland Security and Governmental Affairs (IG sequentially referred with CST, Director-Bureau of Census); Judiciary (Under Secretary-US PTO)",7,5,"S. Commerce, Science, and Transportation, S. Appropriations, H. Science, Space, and Technology; H. Appropriations; H. Merchant Marine and Fisheries",1,3,2,0,0,0,0,0,0,1,1,1,0,1,1,0
3000,0,1,0,0,3000,Department of Defense,8/7/1789,10 U.S.C. 111-119,18,774244,0,.,.,,53,94,134,0,4,0,0,1,0,0,0,1,0,.,0,,.,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Armed Services; Environment and Public Works (Assistant Secretary of Army-Civil Works referred to both EPW and AS); Homeland Security and Governmental Affairs (IG sequential referral),19,4,S. Armed Services; S. Appropriations; H. Armed Services; H. Appropriations,1,3,2,0,0,1,0,0,0,1,1,0,0,0,0,0
4000,0,1,0,0,4000,Department of Education,10/17/1979,20 U.S.C. 3411-3510,21,4620,0,.,.,,17,14,112,1,57,0,0,0,0,0,0,0,0,.,0,,.,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,"1, 3, 5","Health, Education, Labor, and Pensions; Homeland Security and Governmental Affairs (IG sequential referral)",4,2,S. Labor and Human Resources; H. Education and Labor,1,3,2,0,0,1,0,1,0,1,1,1,0,1,0,1
5000,0,1,0,0,5000,Department of Energy,8/4/1977,42 U.S.C. 7101-7385s-15,17,16381,0,.,.,,22,30,66,0,9,1,0,0,0,0,0,0,0,.,0,,.,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,"1, 2, 3, 5",Armed Services (NNSA Positions and Assistant Secretary-Environmental Management); Energy and Natural Resources (everything else); Homeland Security and Governmental Affairs (IG sequential referral with ENR),12,6,S. Armed Services; S. Intelligence; S. Energy and Natural Resources; H. Armed Services; H. Intelligence; H. Energy and Commerce,1,3,2,0,0,1,1,1,1,1,,0,1,1,1,1
6000,0,1,0,0,6000,Department of Health and Human Services,4/11/1953,42 U.S.C. 3501-3515d,5,85642,0,.,.,,20,48,66,1,1,0,0,0,0,0,0,0,0,.,0,,.,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,"Finance (everything else); Health, Education, Labor, and Pensions (SAMHSA Administrator, 3 Assistant Secretaries, FDA Commissioner, NIH Director, Surgeon General, Public Health Service Officer Corps); Homeland Security and Governmental Affairs (IG referred sequentially with Finance); Indian Affairs (IHS Director and Administration for Native Americans Commissioner)",1,2,S. Appropriations; H. Appropriations,1,3,2,0,0,0,0,0,0,1,1,1,0,1,1,1
7000,0,1,0,0,7000,Department of Homeland Security,11/25/2002,6 U.S.C. 101-613,37,198242,0,.,.,,20,61,102,1,4,1,0,0,0,0,0,0,0,.,0,,.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1, 2","Commerce, Science, and Transportation (1 Under Secretary, 1 Assistant Secretary, Commandant Coast Guard, Coast Guard Officers); Finance (CBP Commissioner); Homeland Security and Governmental Affairs (everything else); Judiciary (Assistant Secreferred sequentially with Homeland Security and Governmental Affairs)",39,18,"S. Appropriations; S. Finance; S. Homeland Security and Governmental Affairs; S. Judiciary; S. Foreign Relations; S. Commerce, Science, and Transportation; S. Intelligence; S. Armed Services; H. Appropriations; H. Ways and Means; H. Homeland Security; H. Judiciary; H. Oversight and Government Reform; H. Foreign Affairs; H. Transportation and Infrastructure; H. Armed Services; H. Science and Technology",1,3,2,0,0,1,1,0,0,1,1,1,1,1,1,1
8000,0,1,0,0,8000,Department of Housing and Urban Development,9/9/1965,42 U.S.C. 3531-3549,6,9758,0,.,.,,15,18,49,0,0,0,0,0,0,0,0,0,0,.,0,,.,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"1, 2, 3, 5","Banking, Housing, and Urban Affairs; Homeland Security and Governmental Affairs (IG sequentially referred)",4,4,"S. Banking, Housing, and Urban Affairs; S. Appropriations; H. Banking, Finance, and Urban Affairs; H. Appropriations",1,3,2,0,0,0,1,0,0,1,1,0,1,0,1,1
9000,0,1,0,0,9000,Department of Justice,6/22/1870,28 U.S.C. 501-599B,13,115134,0,.,.,,223,45,68,0,0,1,0,0,0,0,0,0,0,.,0,,.,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,"1, 5",Judiciary (everything else); Homeland Security and Governmental Affairs (IG sequential referral with Judiciary); Intelligence (Assistant Attorney General-National Security sequential referral with Judiciary),7,4,S. Judiciary; S. Appropriations; H. Judiciary; H. Appropriations,1,3,2,0,0,0,0,0,0,1,1,0,1,1,1,1
10000,0,1,0,0,10000,Department of Labor,3/4/1913,29 U.S.C. 551-600,10,16298,0,.,.,,19,29,105,0,0,0,0,0,0,0,0,0,0,.,0,,.,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"1, 3","Health, Education, Labor, and Pensions; Homeland Security and Governmental Affairs (IG sequential referral with HELP); Veterans Affairs (Assistant Sec VETS joint referral with HELP)",0,0,,1,3,2,0,0,0,0,0,0,1,1,0,0,1,1,1
