LetterID,ID,DATE,year,congress,FROM,pattern,bioname,agency,SUBJECT,TYPE,ALT_TYPE,CERTAINTY,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES,ERROR,first_name,first_initial,common_name,middle_name,middle_initial,last_name,id,icpsr,party_code,cqlabel,state,state_abbrev,chamber,bioImgURL,seo_name,district_code,party_name,nominate.dim2,nominate.dim1,nominate.geo_mean_probability,party_size,maiden_name,first_last,first_maiden,common_last,first_middle_last,first_initial_last,common_middle_last,common_initial_last,last_comma_first,first_maiden_last,common_maiden_last,firstinitial_middleinitial_last,last_comma_initial,last_comma_commoninitial,last_comma_common,last_comma_first_maiden,chamber_last,n
NA,2,2010-09-30,2010,111,NA Levin,NA,,CNCS,Constituent (b)(6) left (b)(6) AmeriCorps commitment early and is requesting partial Ed. Award,NA,NA,NA,NA,NA,NA,Multiple Levin's FOIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,203,2010-04-09,2010,111,Senator Udall Mark,NA,,CNCS,Grant Support Letter - The Aspen Community Foundation (SIF),NA,NA,NA,NA,NA,NA,Multiple Udall's FOIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,253,2010-04-28,2010,111,Senator Udall,NA,,CNCS,Constituent (b)(6) overpaid for VISTA,NA,NA,NA,NA,NA,NA,Multiple Udall's FOIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,584,2011-05-12,2011,112,NA Mayor Kasim Reed,NA,,CNCS,Thanks for visit,NA,NA,NA,NA,NA,NA,Multiple Reed's FOIA,State Politician,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,617,2011-05-24,2011,112,NA Gov. Sam Brownback,NA,,CNCS,AC Week Thank You,NA,NA,NA,NA,NA,NA,Multiple Brown's FOIA,State Politician,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,962,2012-06-05,2012,112,NA Brown,NA,,CNCS,AC Grant support letter for Boston Teacher Residency's,NA,NA,NA,NA,NA,NA,Multiple Brown's FOIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,1210,2013-05-20,2013,113,NA Mayor Byron Brown Buffalo,NA,,CNCS,Thanks for Mayor's Day,NA,NA,NA,NA,NA,NA,Multiple Brown's FOIA,State Politician,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,1357,2014-01-22,2014,113,NA Alexander,NA,,CNCS,NA,NA,NA,NA,NA,NA,NA,Multiple Alexander's FOIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,1381,2014-01-16,2014,113,NA Reed,NA,,CNCS,grant support: Ocean State Environmental Education Collaborative,NA,NA,NA,NA,NA,NA,Multiple Reed's FOIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,4,2013-11-06,2013,113,NA,NA,,DOC_NIST,Support of the New York Photonics Initiative's (NYPI) for Advanced Manufacturing Technology Cortia Program (AMTech) from (B)(6),2,4,2,NA,NA,NA,FOIA,NA FROM information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,5,2013-11-06,2013,113,?,NA,,DOC_NIST,Support of the FlexTech Alliance for Advanced Manufacturing Technology Cortia Program (AMTech) from (B)(6),2,4,2,NA,NA,NA,FOIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,6,2013-11-06,2013,113,?,NA,,DOC_NIST,Support of the New York State Manufacturing Extension Partnership for Advanced Manufacturing Technology Cortia Program (AMTech) from (B)(6),2,4,2,NA,NA,NA,FOIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,8,2013-11-07,2013,113,NA,NA,,DOC_NIST,(B)(6) - VA Preference from (B)(6),NA,NA,NA,NA,NA,NA,FOIA,NA FROM information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,12,2013-11-07,2013,113,NA,NA,,DOC_NIST,Support of the Ben Franklin Technology Partners of Southeastern Pennsylvania (BFTP/SEP) for Advanced Manufacturing Technology Cortia Program (AMTech) from (B)(6),3,NA,NA,NA,NA,NA,FOIA,NA FROM information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,101,2016-01-22,2016,114,?,NA,,DOC_NIST,Network for Manufacturing Innovation (NMI) Strategic Plan,4,NA,NA,NA,NA,NA,FOIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,920,2016-03-29,2016,114, NA ALEXANDER,NA,,DOD_USACE, CONGRESSIONAL - Alexander-multi - Concerns regarding additional costs to Tennessee communities for safety repairs at Center Hill Dam CECW-LRD,NA,NA,NA,NA,NA,NA,FOIA NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,925,2016-03-07,2016,114, Keith ROTHFUS,"keith rothfus|keith j rothfus|rothfus, keith|^rothfus, k$|^rothfus, na$|representative rothfus($|,)|k j rothfus","ROTHFUS, Keith",DOD_USACE, CONGRESSIONAL - Rothfus-multi - Concerns regarding the completion of the Upper Ohio Navigation Study CECW-LRD,NA,NA,NA,NA,NA,NA,FOIA NA,NA,Keith,K,NA,NA,J,ROTHFUS,MH11421357,21357,200,(PA-12),pennsylvania,PA,House,021357.jpg,keith-rothfus,12,Republican Party,0.044,0.498,0.917409653753305,251,404error,Keith ROTHFUS,404error,404error,404error,Keith J ROTHFUS,404error,404error,"ROTHFUS, Keith",404error,404error,K J ROTHFUS,"^ROTHFUS, K$","^ROTHFUS, NA$",404error,404error,"Representative ROTHFUS($|,)",1
NA,928,2016-03-01,2016,114, NA KELLY,NA,,DOD_USACE, CONGRESSIONAL - Kelly-multi - Request funding for the Presque Isle Stare Park in the FY 2016 budget CECW-LRD,NA,NA,NA,NA,NA,NA,FOIA NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,930,2016-02-23,2016,114, NA JOYCE,NA,,DOD_USACE, CONGRESSIONAL - Joyce-multi - Request funding for Cleveland Harbor in the FY 2016 work plan CECW-LRD,NA,NA,NA,NA,NA,NA,FOIA NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,931,2016-02-23,2016,114, Marcia KAPTUR,"marcia kaptur|marcia carolyn kaptur|marcia c kaptur|marcy kaptur|marcy carolyn kaptur|marcy c kaptur|kaptur, marcia|^kaptur, m$|representative kaptur($|,)|kaptur, marcy|m c kaptur","KAPTUR, Marcia Carolyn (Marcy)",DOD_USACE, CONGRESSIONAL - Kaptur-multi - Great Lakes Task Force - Request funding for the Great Lakes Navigation System in the FY 2016 work plan CECW-LRD,NA,NA,NA,NA,NA,NA,FOIA NA,NA,Marcia,M,Marcy,Carolyn,C,KAPTUR,MH11415029,15029,100,(OH-09),ohio,OH,House,015029.jpg,marcia-carolyn-marcy-kaptur,9,Democratic Party,0.109,-0.35,0.8787463668354915,190,404error,Marcia KAPTUR,404error,Marcy KAPTUR,Marcia Carolyn KAPTUR,Marcia C KAPTUR,Marcy Carolyn KAPTUR,Marcy C KAPTUR,"KAPTUR, Marcia",404error,404error,M C KAPTUR,"^KAPTUR, M$","^KAPTUR, M$","KAPTUR, Marcy",404error,"Representative KAPTUR($|,)",1
NA,936,2016-02-16,2016,114, John WARNER,NA,,DOD_USACE, CONGRESSIONAL - Warner-multi - Request funding for the Levisa and Tug Forks and Upper Cumberland River project in the FY 2016 work plan CECW-LRD,NA,NA,NA,NA,NA,NA,FOIA NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,937,2016-02-16,2016,114, NA BROWN,NA,,DOD_USACE, CONGRESSIONAL - Brown-multi - Request funding for the Cleveland Harbor in the FY 2016 work plan CECW-LRD,NA,NA,NA,NA,NA,NA,FOIA NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,938,2016-02-16,2016,114, NA KIRK,NA,,DOD_USACE, CONGRESSIONAL - Kirk-multi - Request funding for the Great Lakes Navigation System in the FY 2016 work plan CECW-LRD,NA,NA,NA,NA,NA,NA,FOIA NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
