"","Department","Components FOIAed","Records received","Coded","Observations"
"1","Department of Agriculture",29,29,11,9516
"2","Department of Commerce",19,18,10,8038
"3","Department of Defense",49,13,7,9739
"4","Department of Education",1,1,1,4689
"5","Department of Energy",8,2,1,6580
"6","Department of Health and Human Services",15,10,7,104145
"7","Department of Homeland Security",14,13,12,39633
"8","Department of Housing and Urban Development",2,1,1,33968
"9","Department of Justice",23,5,3,2611
"10","Department of Labor",22,12,8,53341
"11","Department of State",1,0,0,0
"12","Department of the Interior",11,8,6,6079
"13","Department of the Treasury",7,5,5,23869
"14","Department of Transportation",10,7,6,26787
"15","Department of Veterans Affairs",6,3,2,77842
"16","Independent Agencies",77,47,30,81053
"17","Total",294,174,110,487890
