first_name,last_name,LetterID,ID,agency,DATE,FROM,bioname,SUBJECT,TYPE,NOTES,ERROR
NA,NA,NA,312,DOJ_CIV,2020-01-01,BILL SHUSTER,,COMPLAINT AGAINST OIG BOP,NA,NA,NA
Charles,SCHUMER,NA,629,DOJ_CIV,2020-01-02,CHARLES E. SCHUMER,"SCHUMER, Charles Ellis (Chuck)",SEPTEMBER 11 VICTIM COMPENSATION FUND,NA,NA,NA
Thomas,UDALL,NA,642,DOJ_CIV,2020-01-02,TOM UDALL,"UDALL, Thomas (Tom)",FALSE CLAIMS ACT,1,NA,NA
Jerrold,NADLER,NA,227,DOJ_CIV,2020-01-03,JERROLD NADLER,"NADLER, Jerrold Lewis",HEARINGS/CANADIAN CITIZEN(b) (6),1,NA,NA
David,PRICE,NA,522,DOJ_CIV,2020-01-03,DAVID E. PRICE,"PRICE, David Eugene",DISCRIMINATION AT FEDERAL PRISON,NA,NA,NA
Roy,BLUNT,NA,626,DOJ_CIV,2020-01-03,ROY BLUNT,"BLUNT, Roy",RECA,NA,NA,NA
Mark,WARNER,NA,769,DOJ_CIV,2020-01-03,MARK WARNER,"WARNER, Mark",VA IMPLEMENTATION OF (b) (6),1,NA,NA
Mark,WARNER,NA,82,DOJ_CIV,2020-01-05,MARK WARNER,"WARNER, Mark",CONT CONCERN/MANDATORY AA/REGION,"NA","NA",NA
Patty,MURRAY,NA,140,DOJ_CIV,2020-01-05,PATTY MURRAY,"MURRAY, Patty",LIEN IMPOSED BY DOJ OFFICE/SEATTLE,"NA","NA",NA
NA,NA,NA,264,DOJ_CIV,2020-01-05,Bill YOUNG,,PROTECTION OF MEDICAL RECORDS,NA,NA,NA
Patrick,TOOMEY,NA,508,DOJ_CIV,2020-01-05,PATRICK TOOMEY,"TOOMEY, Patrick Joseph",GARNISHMENT OF WAGES,NA,NA,NA
NA,NA,NA,512,DOJ_CIV,2020-01-05,KEVIN YODER,,RECA,NA,NA,NA
Johnny,ISAKSON,NA,832,DOJ_CIV,2020-01-05,JOHNNY ISAKSON,"ISAKSON, Johnny",VCF,NA,NA,NA
NA,NA,NA,29,DOJ_CIV,2020-01-06,BENNIE/SHEILA THOMPSON/JACKSON-LEE,,SF-95 FORMS FILED AFTER KATRINA,NA,NA,NA
Danny,DAVIS,NA,30,DOJ_CIV,2020-01-06,DANNY DAVIS,"DAVIS, Danny K.",SF-95 FORMS FILED AFTER KATRINA,NA,NA,NA
Eddie,JOHNSON,NA,515,DOJ_CIV,2020-01-06,CEDRIC/EDDIE RICHMOND/BERNICE JOHNSON,"JOHNSON, Eddie Bernice",SF-95 FORMS FILED AFTER KATRINA,NA,NA,NA
Kenny,MARCHANT,NA,830,DOJ_CIV,2020-01-06,KENNY MARCHANT,"MARCHANT, Kenny",OPERATION CHOKE POINT FOLLOW UP QUESTIONS,NA,NA,NA
NA,NA,NA,964,DOJ_CIV,2020-01-06,JASON CHAFFETZ,,LTR FROM CHMN CHAFFETZ OVERSIGHT AND GOVERNMENT REFORM COMTE AND CHMN JORDAN HEALTHCARE BENEFTS AND ADMINISTRATIVE RULES SUBCOMTE ADVISING THAT DOJ SENT A RESPONSE LETTER TO CONGRESS ON 10/23/2015 STATING THAT THE DEPARTMENT HAS CONCLUDED THEIR INVESTIGATION INTO WHETHER ANY IRS OFFICIALS COMMITTED CRIMES IN CONNECTION WITH THE HANDLING OF TAX-EXEMPTION APPLICATIONS FILED BY THE TEA PARTY AND IDEOLOGICALLY SIMILAR ORGANIZATIONS.,NA,NA,NA
NA,NA,NA,972,DOJ_CIV,2020-01-06,BILL NELSON,,ALLEGATIONS OF MEDICAID FRAUD,NA,NA,NA
NA,NA,NA,1045,DOJ_CIV,2020-01-06,MARK KIRK,,VILLAGE TOOK HIS LAND?,NA,NA,NA
NA,NA,NA,342,DOJ_CIV,2020-01-07,BILL NELSON,,CONSTITUENT FEELS HE IS ENTITLED TO AWARD FROM FCA SETTLEMENT WITH KAMAN PREC SION PRODUCTS,NA,NA,NA
Robert,SCOTT,NA,892,DOJ_CIV,2020-01-07,ROBERT SCOTT,"SCOTT, Robert C.",LTR ON BEHALF OF VA CONSTITUENT REQUESTING ASSISTANCE WITH HIS ALIAH APP WNTS 2 IMMIGRATE TO ISRAEL,1,NA,NA
NA,NA,NA,70,DOJ_CIV,2020-01-08,SCOTT GARRETT,,"LTR ON BEHALF OF(b) (6) REQUESTING AN UPDATE REGARDING THE CLASS ACTION LAWSUIT ENTITLED U.S. DISTRICT COURT NR.
 (b) (6) VS. STARKIST CO. (13-CV-00729).",1,NA,NA
NA,NA,NA,210,DOJ_CIV,2020-01-08,DAN BURTON*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,211,DOJ_CIV,2020-01-08,CHRIS CANNON*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
John,CARTER,NA,212,DOJ_CIV,2020-01-08,JOHN R. CARTER*,"CARTER, John R.",PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,213,DOJ_CIV,2020-01-08,DAVE WELDON*,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
