ID,agency,DATE,FROM,first_name,last_name,bioname,party_code,chamber,congress,SUBJECT,TYPE,NOTES,ERROR
670,DOL_OSHA,2006-12-15,"Menendez, Robert",Robert,MENENDEZ,"MENENDEZ, Robert",100,Senate,109,NA NA EEO Complaint/OSHA Employee,1,NA,NA
670,DOL_OSHA,2006-12-15,"Menendez, Robert",Robert,MENENDEZ,"MENENDEZ, Robert",100,House,109,NA NA EEO Complaint/OSHA Employee,1,NA,NA
671,DOL_OSHA,2006-12-15,"Menendez, Robert",Robert,MENENDEZ,"MENENDEZ, Robert",100,Senate,109,NA NA EEO Complaint/OSHA Employee,1,NA,NA
671,DOL_OSHA,2006-12-15,"Menendez, Robert",Robert,MENENDEZ,"MENENDEZ, Robert",100,House,109,NA NA EEO Complaint/OSHA Employee,1,NA,NA
7794,DOL_OWCP,2009-12-22,"Griffith, Parker (Cong)",Parker,GRIFFITH,"GRIFFITH, Parker",200,House,111,OWCP/Request to Change Physician,1,NA,NA
7794,DOL_OWCP,2009-12-22,"Griffith, Parker (Cong)",Parker,GRIFFITH,"GRIFFITH, Parker",100,House,111,OWCP/Request to Change Physician,1,NA,NA
7795,DOL_OWCP,2009-12-22,"Griffith, Parker (Cong)",Parker,GRIFFITH,"GRIFFITH, Parker",200,House,111,OWCP/Request to Change Physician,1,NA,NA
7795,DOL_OWCP,2009-12-22,"Griffith, Parker (Cong)",Parker,GRIFFITH,"GRIFFITH, Parker",100,House,111,OWCP/Request to Change Physician,1,NA,NA
10178,DOL_SOL,2009-12-22,"Griffith, Parker",Parker,GRIFFITH,"GRIFFITH, Parker",200,House,111,OWCP/Request to Change Physician,1,NA,NA
10178,DOL_SOL,2009-12-22,"Griffith, Parker",Parker,GRIFFITH,"GRIFFITH, Parker",100,House,111,OWCP/Request to Change Physician,1,NA,NA
10179,DOL_SOL,2009-12-22,"Griffith, Parker",Parker,GRIFFITH,"GRIFFITH, Parker",200,House,111,OWCP/Request to Change Physician,1,NA,NA
10179,DOL_SOL,2009-12-22,"Griffith, Parker",Parker,GRIFFITH,"GRIFFITH, Parker",100,House,111,OWCP/Request to Change Physician,1,NA,NA
9862,FDA,2019-04-12,"AMASH, JUSTIN House of Representatives",Justin,AMASH,"AMASH, Justin",328,House,116,CDER-(C) Rep. Justin Amash is writing FDA regarding the approved uses of Gralise (gabapentin).,5,NA,NA
9862,FDA,2019-04-12,"AMASH, JUSTIN House of Representatives",Justin,AMASH,"AMASH, Justin",200,House,116,CDER-(C) Rep. Justin Amash is writing FDA regarding the approved uses of Gralise (gabapentin).,5,NA,NA
9863,FDA,2019-04-12,"AMASH, JUSTIN House of Representatives",Justin,AMASH,"AMASH, Justin",328,House,116,CDER-(C) Rep. Justin Amash is writing FDA regarding the approved uses of Gralise (gabapentin).,5,NA,NA
9863,FDA,2019-04-12,"AMASH, JUSTIN House of Representatives",Justin,AMASH,"AMASH, Justin",200,House,116,CDER-(C) Rep. Justin Amash is writing FDA regarding the approved uses of Gralise (gabapentin).,5,NA,NA
