comid,UltOrg,Affiliate,PACShort,Catcode
C00001289,Chevron Corp; Union Oil; Unocal Corp,Chevron Corp; NA,Unocal Corp; Union Oil,E1110; E1120
C00002972,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,E1610
C00004952,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Mississippi ACRE,E1610
C00004960,Burlington Resources; ConocoPhillips,NA; ConocoPhillips,Burlington Resources,E1120
C00007450,American Gas Assn,"NA",American Gas Assn,E1140
C00007849,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Speak Up for Rural Electrification,E1610
C00008169,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Missouri ACRE,E1610
C00008748,Pacific Enterprises; Sempra Energy,NA; Sempra Energy,Pacific Enterprises; Southern California Gas; Sempra Energy,E1140; E1620
C00010561,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Kansas ACRE,E1610
C00010710,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,North Carolina Assn of Electric Coops; National Rural Electric Cooperative Assn,E1610
C00010967,Dominion Resources; Consolidated Gas Transmission Corp; Consolidated Natural Gas,Dominion Resources; NA; Consolidated Natural Gas,Dominion Transmission & Storage; Consolidated Gas Transmission Corp; CNG Transmission Corp,E1140
C00011387,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Colorado ACRE,E1610
C00013995,Iowa Resources Inc; Midwest Resources Inc,NA; Midwest Resources Inc,Iowa Resources Inc; Midwest Resources Inc,E1600; E1620
C00014472,Dominion Resources; Consolidated Natural Gas,Dominion Resources; Consolidated Natural Gas,East Ohio Gas,E1140
C00015925,Indiana Gas,"NA",Indiana Gas,E1140
C00015933,Pinnacle West Capital,"NA",Pinnacle West Capital; Arizona Public Service Co,E1600
C00019653,Edison International; SCEcorp,"NA",Edison International; Southern California Edison,E1600
C00025346,Sunoco Inc; Energy Transfer Equity; Sun Co,NA; Energy Transfer Equity,Sunoco Inc; Sun Co,E1160
C00025395,PNM Resources; Public Service Co of New Mexico,"NA",Public Service Co of New Mexico,E1600; E1620
C00030676,USX Corp,USX Corp,USX Corp,E1100
C00032771,Transco Energy Co; Williams Companies,Transco Energy Co; Williams Companies,Texas Gas Transmission,E1140
C00032805,BP; Atlantic Richfield,BP; NA,Atlantic Richfield,E1110
C00033167,Dominion Resources; Consolidated Natural Gas,Dominion Resources; Consolidated Natural Gas,Dominion Peoples Natural Gas; Peoples Natural Gas,E1140
C00033530,BP; British Petroleum,BP; NA,BP; BP America,E1110
C00034041,Kerr-McGee Corp; Anadarko Petroleum,NA; Anadarko Petroleum,Kerr-McGee Corp; Anadarko Petroleum,E1120; E1160
C00034728,True Companies,"NA",True Companies,E1120
