agency,bioname,DATE,SUBJECT,TYPE,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES,n
DOE_FERC,"ROBERTS, Charles Patrick (Pat)",2006-05-03,"US Senator Pat Roberts forwards comments of a constituent re dock construction issue at Bella Terra Villas at the Lake of the Ozarks, Missouri under P-459.",1,NA,NA,NA,NA,bad files,2
DOE_FERC,"ROBERTS, Charles Patrick (Pat)",2006-05-03,"US Senator Pat Roberts forwards comments of a constituent re dock construction issue at Bella Terra Villas at the Lake of the Ozarks, Missouri under P-459.",1,NA,NA,NA,NA,NA,2
DOE_FERC,"KERRY, John Forbes",2006-05-17,"US Senator John Kerry forwards a correspondence from an individual re concerns about the proposed Compressor Station in Methuan, MA under PF05-17.",1,NA,NA,NA,NA,bad files,2
DOE_FERC,"KERRY, John Forbes",2006-05-17,"US Senator John Kerry forwards a correspondence from an individual re concerns about the proposed Compressor Station in Methuan, MA under PF05-17.",1,NA,NA,NA,NA,NA,2
DOE_FERC,"REID, Harry",2006-09-07,US Senator Harry Reid forwards a letter on behalf of his constituent regarding restoration at the Klamath River salmon populations under P-2082.,1,NA,NA,NA,NA,NA,2
DOE_FERC,"REID, Harry",2006-09-07,US Senator Harry Reid forwards a letter on behalf of his constituent regarding restoration at the Klamath River salmon populations under P-2082.,1,NA,NA,NA,NA,bad files NA,2
DOE_FERC,"COCHRAN, William Thad",2006-09-29,US Senator Thad Cochran submits a letter from Gulf South Pipeline to landowners as more information re their proposal to construct and operate a new natural gas pipeline in central Mississippi and western Alabama under PF06-31.,NA,NA,NA,NA,NA,bad files NA,2
DOE_FERC,"COCHRAN, William Thad",2006-09-29,US Senator Thad Cochran submits a letter from Gulf South Pipeline to landowners as more information re their proposal to construct and operate a new natural gas pipeline in central Mississippi and western Alabama under PF06-31.,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"MILLER, George",2007-01-03,Request All Documents Received from Sandia on Lightning Study; Sago/Darby Mine,5,NA,information,Sandia on Lightning Study; Sago/Darby Mine,NA,resulted in MINER Act,2
DOL_MSHA,"MILLER, George",2007-01-03,Request All Documents Received from Sandia on Lightning Study; Sago/Darby Mine,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"RAHALL, Nick Joe, II",2007-01-09,Employment With MSHA,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"RAHALL, Nick Joe, II",2007-01-09,Employment With MSHA,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"SHIMKUS, John M.",2007-01-10,Timely Job Transfer,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"SHIMKUS, John M.",2007-01-10,Timely Job Transfer,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"GRAHAM, Lindsey O.",2007-01-25,Employment With MSHA Issues,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"GRAHAM, Lindsey O.",2007-01-25,Employment With MSHA Issues,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"MIKULSKI, Barbara Ann",2007-01-29,MSHA Issue,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"MIKULSKI, Barbara Ann",2007-01-29,MSHA Issue,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"SHIMKUS, John M.",2007-01-30,Request to Expedite a MSHA Job Transfer,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"SHIMKUS, John M.",2007-01-30,Request to Expedite a MSHA Job Transfer,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"MILLER, George",2007-02-01,Implementing the MINER Act/What Are Your Plans to Accelerate & Improve the Laws?,5,NA,legislation,MINER Act,past,NA,2
DOL_MSHA,"MILLER, George",2007-02-01,Implementing the MINER Act/What Are Your Plans to Accelerate & Improve the Laws?,NA,NA,NA,NA,NA,NA,2
