congress,chamber,party_control,party_president
,,,
106,House,Republican Party,Democratic Party
107,House,Republican Party,Republican Party
108,House,Republican Party,Republican Party
109,House,Republican Party,Republican Party
110,House,Democratic Party,Republican Party
111,House,Democratic Party,Democratic Party
112,House,Republican Party,Democratic Party
113,House,Republican Party,Democratic Party
114,House,Republican Party,Democratic Party
115,House,Republican Party,Republican Party
116,House,Democratic Party,Republican Party
117,House,Democratic Party,Democratic Party
,,,
106,Senate,Republican Party,Democratic Party
107,Senate,Democratic Party,Republican Party
108,Senate,Republican Party,Republican Party
109,Senate,Republican Party,Republican Party
110,Senate,Democratic Party,Republican Party
111,Senate,Democratic Party,Democratic Party
112,Senate,Democratic Party,Democratic Party
113,Senate,Democratic Party,Democratic Party
114,Senate,Republican Party,Democratic Party
115,Senate,Republican Party,Republican Party
116,Senate,Republican Party,Republican Party
117,Senate,Democratic Party,Democratic Party
