"","FROM","agency","congress","n"
"1","Representative NA","VA",112,574
"2","Representative NA","VA",115,520
"3","Representative NA","VA",111,500
"4","Representative NA","VA",114,295
"5","Representative NA","VA",113,290
"6","Representative NA","VA",110,268
"7","Senator NA","VA",111,262
"8","Senator NA","VA",112,110
"9","Senator NA","VA",115,105
"10","Rep. Rogers","SSA",114,92
"11","Senator NA","VA",113,88
"12","Aging","DHHS_HRSA",113,74
"13","Smith, C.","VA",115,67
"14","Senator NA","VA",114,66
"15","Pence, Mike (R-IN)","FCC",115,56
"16","Senator NA","VA",110,50
"17","Rep. Duncan","SSA",114,46
"18","Orice Williams Brown","HUD_HQ",114,45
"19"," Lenoir, Simuel","FHFA",113,43
"20","J. Manchin (WV)","SSA",112,43
"21","Representative NA","VA",116,37
"22","Retirement Security","DHHS_HRSA",114,37
"23","CASEY, JR., ROBERT P.","USPS",112,35
"24","LEVIN","DOD_OIG",110,33
"25","Mathew Scire","HUD_HQ",111,32
"26","Richard Blumenthal","HUD_HQ",111,32
"27","YOUNG, C. W. BILL","USPS",112,32
"28","Sen. Isakson (GA)","SSA",113,31
"29","William (Bill) Owens","HUD_HQ",112,30
"30"," PELOSI, N","DOD_OSDJS",111,29
"31","JoAnn Emerson","HUD_HQ",112,28
"32","Aging","DHHS_HRSA",112,26
"33","J Manchin (WV)","SSA",112,26
"34","BILL NELSON","DOJ_CIV",116,24
"35","John M. Katko","HUD_HQ",114,24
"36","LEVIN","DOD_OIG",111,23
"37","Levin, C","VA",110,23
"38","Mathew Scire","HUD_HQ",112,23
"39","OBEY.D","DOD_OSDJS",111,23
"40","Joseph Henry","HUD_HQ",115,22
"41","MOORE.D","DOD_OSDJS",110,22
"42","Rep. Collins (GA-9)","SSA",114,22
"43"," NA MR.","DOD_USACE",114,21
"44"," NA WH","DOD_USACE",115,21
"45","Orice Williams Brown","HUD_HQ",115,20
"46","Sen. Shelby (AL)","SSA",114,20
"47"," PELOSI, N","DOD_OSDJS",110,19
"48","(b) (6)","DOD_Navy",114,19
"49","Henry (Hank) Johnson","HUD_HQ",111,19
"50","KRATOVIL, JR., FRANK M.","USPS",111,19
"51","NRC","NWTRB",110,19
"52","Rep. Heck (NV-3)","SSA",114,19
"53"," Susan M","DOT_FHWA",114,18
"54","Collins, S","VA",110,18
"55","Johnson, T","VA",111,18
"56","Lee, S","VA",110,18
"57","OCL","DOI_NPS",111,18
"58","Rep. Heck","SSA",114,18
"59"," Collins","DOT_FHWA",114,17
"60","Grisham, M.","VA",115,17
"61","Lockhart, James","FHFA",110,17
"62","MOORE.D","DOD_OSDJS",111,17
"63","Sen. Boozman (AR)","SSA",114,17
"64","Senator ","DOL_SOL",110,17
"65"," FILNER, B","DOD_OSDJS",110,16
"66"," SKELTON, I","DOD_OSDJS",110,16
"67","Carlos Lopez-Cantera","HUD_HQ",112,16
"68","E. Benjamin Nelson","HUD_HQ",111,16
"69","Sen. Manchin (WV)","SSA",112,16
"70","SENSENBRENNER, F. JAMES","USPS",112,16
"71","William Shear","HUD_HQ",112,16
"72"," FILNER, B","DOD_OSDJS",111,15
"73"," RANGEL, C","DOD_OSDJS",111,15
"74","John Berry","HUD_HQ",112,15
"75","JOHN MCCAIN","DOJ_CIV",116,15
"76","Johnson, Tim","DOL_SOL",110,15
"77","Johnson, Tim","DOL_SOL",112,15
"78"," FORBES, J","DOD_OSDJS",111,14
"79"," MANZULLO, D","DOD_OSDJS",111,14
"80"," NA MR.","DOD_USACE",113,14
"81"," SKELTON, I","DOD_OSDJS",111,14
"82","3 Others","DOL_SOL",114,14
"83","Brereton, Peter, Associate Director for Congressional Affairs","FHFA",113,14
"84","David Powner","HUD_HQ",114,14
"85","Johnson, T.","VA",110,14
"86","Joseph Wieder","HUD_HQ",113,14
"87","Kosmas, Susanne","DHHS_CMS",111,14
"88","Pensions Committee","DHHS_HRSA",114,14
"89","Sanders, B","VA",110,14
"90","Sen. Cotton (AR)","SSA",114,14
"91","Senator   NELSON","Amtrak",110,14
"92","WARNER","DOD_OIG",115,14
"93"," Lenoir, Simuel","FHFA",114,13
"94"," Lowey","DOT_FHWA",114,13
"95"," Nita M","DOT_FHWA",114,13
"96","2 Others","DOL_SOL",114,13
"97","Brereton, Peter, Associate Director for External Relations","FHFA",111,13
"98","DeLeon, Patrick H.","DHHS_CMS",111,13
"99","James Oddo","HUD_HQ",115,13
"100","Nrc","NWTRB",110,13
"101","NRC","NWTRB",111,13
"102","Rep. Brat (VA-7)","SSA",114,13
"103","Rep. Rogers (KY-5)","SSA",114,13
"104","Rogers, M. (AL)","VA",112,13
