"","state","pop2017","pop2010"
"1","california","39,536,653",37252895
"2","texas","28,304,596",25146105
"3","florida","20,984,400",18804623
"4","new york","19,849,399",19378087
"5","pennsylvania","12,805,537",12702887
"6","illinois","12,802,023",12831549
"7","ohio","11,658,609",11536725
"8","georgia","10,429,379",9688681
"9","north carolina","10,273,419",9535692
"10","michigan","9,962,311",9884129
"11","new jersey","9,005,644",8791936
"12","virginia","8,470,020",8001045
"13","washington","7,405,743",6724543
"14","arizona","7,016,270",6392307
"15","massachusetts","6,859,819",6547817
"16","tennessee","6,715,984",6346275
"17","indiana","6,666,818",6484229
"18","missouri","6,113,532",5988927
"19","maryland","6,052,177",5773785
"20","wisconsin","5,795,483",5687289
"21","colorado","5,607,154",5029324
"22","minnesota","5,576,606",5303925
"23","south carolina","5,024,369",4625401
"24","alabama","4,874,747",4780127
"25","louisiana","4,684,333",4533479
"26","kentucky","4,454,189",4339349
"27","oregon","4,142,776",3831073
"28","oklahoma","3,930,864",3751616
"29","connecticut","3,588,184",3574118
"30","puerto rico","3,337,177",3726157
"31","iowa","3,145,711",3046869
"32","utah","3,101,833",2763888
"33","arkansas","3,004,279",2915958
"34","nevada","2,998,039",2700691
"35","mississippi","2,984,100",2968103
"36","kansas","2,913,123",2853132
"37","new mexico","2,088,070",2059192
"38","nebraska","1,920,076",1826341
"39","west virginia","1,815,857",1853011
"40","idaho","1,716,943",1567652
"41","hawaii","1,427,538",1360301
"42","new hampshire","1,342,795",1316466
"43","maine","1,335,907",1328361
"44","rhode island","1,059,639",1052931
"45","montana","1,050,493",989417
"46","delaware","961,939",897936
"47","south dakota","869,666",814191
"48","north dakota","755,393",672591
"49","alaska","739,795",710249
"50","district of columbia","693,972",601767
"51","vermont","623,657",625745
"52","wyoming","579,315",563767
