"","X.7","X.6","X.5","X.4","X.3","X.2","X.1","X","state","vetpop2010"
"1",1,1,1,1,1,1,1,1,"alabama",388865
"2",2,2,2,2,2,2,2,2,"alaska",71004
"3",3,3,3,3,3,3,3,3,"arizona",522382
"4",4,4,4,4,4,4,4,4,"arkansas",237311
"5",5,5,5,5,5,5,5,5,"california",1893539
"6",6,6,6,6,6,6,6,6,"colorado",399458
"7",7,7,7,7,7,7,7,7,"connecticut",217947
"8",8,8,8,8,8,8,8,8,"delaware",75081
"9",9,9,9,9,9,9,9,9,"district of columbia",30520
"10",10,10,10,10,10,10,10,10,"florida",1569406
"11",11,11,11,11,11,11,11,11,"georgia",690208
"12",12,12,12,12,12,12,12,12,"hawaii",112625
"13",13,13,13,13,13,13,13,13,"idaho",122955
"14",14,14,14,14,14,14,14,14,"illinois",727919
"15",15,15,15,15,15,15,15,15,"indiana",455105
"16",16,16,16,16,16,16,16,16,"iowa",226175
"17",17,17,17,17,17,17,17,17,"kansas",211113
"18",18,18,18,18,18,18,18,18,"kentucky",312365
"19",19,19,19,19,19,19,19,19,"louisiana",304271
"20",20,20,20,20,20,20,20,20,"maine",126842
"21",21,21,21,21,21,21,21,21,"maryland",427068
"22",22,22,22,22,22,22,22,22,"massachusetts",383087
"23",23,23,23,23,23,23,23,23,"michigan",672213
"24",24,24,24,24,24,24,24,24,"minnesota",366990
"25",25,25,25,25,25,25,25,25,"mississippi",200748
"26",26,26,26,26,26,26,26,26,"missouri",479828
"27",27,27,27,27,27,27,27,27,"montana",94404
"28",28,28,28,28,28,28,28,28,"nebraska",142176
"29",29,29,29,29,29,29,29,29,"nevada",226555
"30",30,30,30,30,30,30,30,30,"new hampshire",112790
"31",31,31,31,31,31,31,31,31,"new jersey",437652
"32",32,32,32,32,32,32,32,32,"new mexico",172717
"33",33,33,33,33,33,33,33,33,"new york",912499
"34",34,34,34,34,34,34,34,34,"north carolina",724295
"35",35,35,35,35,35,35,35,35,"north dakota",53157
"36",36,36,36,36,36,36,36,36,"ohio",864923
"37",37,37,37,37,37,37,37,37,"oklahoma",312492
"38",38,38,38,38,38,38,38,38,"oregon",323205
"39",39,39,39,39,39,39,39,39,"pennsylvania",943417
"40",40,40,40,40,40,40,40,40,"rhode island",70621
"41",41,41,41,41,41,41,41,41,"south carolina",391660
"42",42,42,42,42,42,42,42,42,"south dakota",67886
"43",43,43,43,43,43,43,43,43,"tennessee",484901
"44",44,44,44,44,44,44,44,44,"texas",1583272
"45",45,45,45,45,45,45,45,45,"utah",143771
"46",46,46,46,46,46,46,46,46,"vermont",48456
"47",47,47,47,47,47,47,47,47,"virginia",726470
"48",48,48,48,48,48,48,48,48,"washington",582265
"49",49,49,49,49,49,49,49,49,"west virginia",159448
"50",50,50,50,50,50,50,50,50,"wisconsin",408870
"51",51,51,51,51,51,51,51,51,"wyoming",50852
