thomas_num,thomas_name,icpsr,congress,year,st_name,cd,dem,elected,female,votepct,dwnom1,deleg_size,speaker,subchr,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,power,budget,chair,majority,maj_leader,min_leader,les,seniority
"Numeric counter for order in THOMAS data, starting with 93rd Congress","Legislator name, as given in THOMAS","ICPSR number, according to Poole and Rosenthal",Congress number,Year at start of Congress,Two-letter state code,Congressional district number,1 = Democrat,Year first elected to House,1 = female,Percent vote received to enter this Congress,First-dimension DW-NOMINATE score,Size of House delegation from member's state,1= Speaker,1 = Subcommittee Chair,Number of substantive and significant bills sponsored,Number of substantive and significant bills with action in committee,Number of substantive and significant bills with action beyond committee,Number of substantive and significant bills passed House,Number of substantive and significant bills became law,Number of substantive bills sponsored,Number of substantive bills with action in committee,Number of substantive bills with action beyond committee,Number of substantive bills passed House,Number of substantive bills became law,Number of commemorative bills sponsored,Number of commemorative bills with action in committee,Number of commemorative bills with action beyond committee,Number of commemorative bills passed House,Number of commemorative bills became law,"1 = Member of Appropriation, Rules, or Ways and Means",1 = Member of Budget,1 = Committee Chair,1 = majority party member,1 = Majority party leadership,1 = Minority party leadership,Legislative Effectiveness Score (1-5-10),"Seniority, number of terms served counting current"
8017,"Abercrombie, Neil",15245,111,2009,HI,1,1,1990,0,77,-0.379000008,2,0,1,0,0,0,0,0,15,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.672246397,10
8018,"Ackerman, Gary",15000,111,2009,NY,5,1,1983,0,71,-0.370999992,29,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.237246081,14
8019,"Aderholt, Robert",29701,111,2009,AL,4,0,1996,0,75,0.470999986,7,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0.329891145,7
8020,"Adler, John",20928,111,2009,NJ,3,1,2008,0,52,-0.123999998,13,0,0,0,0,0,0,0,22,3,3,3,0,1,0,0,0,0,0,0,0,1,0,0,1.352485299,1
8021,"Akin, W.",20123,111,2009,MO,2,0,2000,0,62,0.754000008,9,0,0,0,0,0,0,0,5,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0.286685616,5
8022,"Alexander, Rodney",90327,111,2009,LA,5,0,2002,0,100,0.5,7,0,0,0,0,0,0,0,9,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.58851254,4
8023,"Altmire, Jason",20743,111,2009,PA,4,1,2006,0,56,-0.136999995,19,0,1,1,1,1,1,1,11,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1.803761482,2
8024,"Andrews, Robert",29132,111,2009,NJ,1,1,1990,0,72,-0.367000014,13,0,1,0,0,0,0,0,7,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.560601234,10
8025,"Arcuri, Michael",20736,111,2009,NY,24,1,2006,0,52,-0.195999995,29,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.426089197,2
8026,"Austria, Steve",20940,111,2009,OH,7,0,2008,0,58,0.537,18,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.030702434,1
8027,"Baca, Joe",29942,111,2009,CA,43,1,1999,0,69,-0.337000012,53,0,1,0,0,0,0,0,32,3,1,1,0,3,0,1,1,1,0,0,0,1,0,0,1.157381415,6
8028,"Bachmann, Michele",20728,111,2009,MN,6,0,2006,1,46,0.759000003,8,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.240037218,2
8029,"Bachus, Spencer",29301,111,2009,AL,6,0,1992,0,98,0.575999975,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083733909,9
8030,"Baird, Brian",29938,111,2009,WA,3,1,1998,0,64,-0.27700001,9,0,1,0,0,0,0,0,12,4,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1.197869301,6
8031,"Baldwin, Tammy",29940,111,2009,WI,2,1,1998,1,69,-0.55400002,8,0,0,0,0,0,0,0,27,6,6,3,0,1,0,0,0,0,0,0,0,1,0,0,2.082063198,6
8032,"Barrett, J.",20347,111,2009,SC,3,0,2002,0,65,0.825999975,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055822607,4
