"","year","congress","bioname","icpsr","stewarticpsr"
"1",2010,111,"KIRK, Mark Steven",20115,NA
"2",2010,111,"SPECTER, Arlen",94910,NA
"3",2010,111,"CRITZ, Mark S.",20960,NA
"4",2012,112,"FITZPATRICK, Michael G.",20524,NA
"5",2013,113,"FITZPATRICK, Michael G.",20524,NA
"6",2013,113,"WALBERG, Tim",20725,NA
"7",2014,113,"FITZPATRICK, Michael G.",20524,NA
"8",2016,114,"CLYBURN, James Enos",39301,NA
"9",2016,114,"FITZPATRICK, Michael G.",20524,NA
"10",2009,111,"SPECTER, Arlen",94910,NA
"11",2009,111,"KIRK, Mark Steven",20115,NA
"12",2009,111,"SOLIS, Hilda L.",20105,NA
"13",2011,112,"BLUNT, Roy",29735,NA
"14",2011,112,"BOOZMAN, John",20101,NA
"15",2011,112,"ISRAEL, Steve",20129,NA
"16",2012,112,"BLUNT, Roy",29735,NA
"17",2012,112,"BOOZMAN, John",20101,NA
"18",2014,113,"MORAN, Jerry",29722,NA
"19",2015,114,"CLYBURN, James Enos",39301,NA
"20",2013,113,"KENNEDY, Joseph P. III",21335,NA
"21",2010,111,"BROWN, Scott P.",40913,NA
"22",2010,111,"MANCHIN, Joe, III",40915,NA
"23",2016,114,"CHABOT, Steve",29550,NA
"24",2017,115,"CHABOT, Steve",29550,NA
"25",2015,114,"CHABOT, Steve",29550,NA
"26",2015,114,"FITZPATRICK, Michael G.",20524,NA
"27",2011,112,"MORAN, Jerry",29722,NA
"28",2011,112,"FITZPATRICK, Michael G.",20524,NA
"29",2011,112,"DEUTCH, Theodore E. (Ted)",20959,NA
"30",2011,112,"CHABOT, Steve",29550,NA
"31",2012,112,"MORAN, Jerry",29722,NA
"32",2013,113,"CHABOT, Steve",29550,NA
"33",2014,113,"CHABOT, Steve",29550,NA
"34",2017,115,"JONES, Gordon Douglas (Doug)",41705,NA
"35",2016,114,"RIGELL, E. Scott",21185,NA
"36",2017,115,"SMITH, Tina",41706,NA
"37",2016,114,"WALBERG, Tim",20725,NA
"38",2015,114,"RIGELL, E. Scott",21185,NA
"39",2014,113,"WALBERG, Tim",20725,NA
"40",2008,110,"FUDGE, Marcia L.",20941,NA
"41",2011,112,"WALBERG, Tim",20725,NA
"42",2014,113,"KENNEDY, Joseph P. III",21335,NA
"43",2014,113,"NORCROSS, Donald",21536,NA
"44",2015,114,"WALBERG, Tim",20725,NA
"45",2017,115,"CLYBURN, James Enos",39301,NA
"46",2017,115,"ZINKE, Ryan",21532,NA
"47",2017,115,"POCAN, Mark",21370,NA
"48",2009,111,"CLINTON, Hillary Rodham",40105,NA
"49",2010,111,"DEUTCH, Theodore E. (Ted)",20959,NA
"50",2010,111,"COONS, Christopher A.",40916,NA
"51",2010,111,"GRAVES, Tom",20962,NA
"52",2012,112,"ISRAEL, Steve",20129,NA
"53",2012,112,"DEUTCH, Theodore E. (Ted)",20959,NA
"54",2012,112,"CHABOT, Steve",29550,NA
"55",2018,115,"SMITH, Tina",41706,NA
"56",2013,113,"MORAN, Jerry",29722,NA
"57",2010,111,"GOODWIN, Carte P.",40914,NA
"58",2009,111,"GRAVES, Tom",20962,NA
"59",2009,111,"BIDEN, Joseph Robinette, Jr.",14101,NA
"60",2012,112,"WALBERG, Tim",20725,NA
"61",2018,115,"CHABOT, Steve",29550,NA
"62",2010,111,"DJOU, Charles",20961,NA
"63",2010,111,"REED, Thomas W. II",21101,NA
